offset_points,target_points,trades_taken,trades_dropped,target_hit_count_model,net_pnl_model,expectancy_model,baseline_net_pnl,delta_vs_baseline
8,2.0,120,238,109,14879.0,123.99,-208658.0,223537.0
7,2.0,173,185,157,9836.0,56.86,-208658.0,218494.0
9,2.0,92,266,82,-22241.0,-241.75,-208658.0,186417.0
1,5.0,358,0,107,-29098.0,-81.28,-208658.0,179560.0
2,5.0,358,0,107,-29098.0,-81.28,-208658.0,179560.0
3,5.0,358,0,107,-29098.0,-81.28,-208658.0,179560.0
4,5.0,358,0,107,-29098.0,-81.28,-208658.0,179560.0
5,5.0,358,0,107,-29098.0,-81.28,-208658.0,179560.0
1,6.0,358,0,68,-38878.0,-108.6,-208658.0,169780.0
2,6.0,358,0,68,-38878.0,-108.6,-208658.0,169780.0
3,6.0,358,0,68,-38878.0,-108.6,-208658.0,169780.0
4,6.0,358,0,68,-38878.0,-108.6,-208658.0,169780.0
5,6.0,358,0,68,-38878.0,-108.6,-208658.0,169780.0
10,2.0,65,293,61,-41131.0,-632.78,-208658.0,167527.0
1,4.0,358,0,191,-51278.0,-143.23,-208658.0,157380.0
2,4.0,358,0,191,-51278.0,-143.23,-208658.0,157380.0
3,4.0,358,0,191,-51278.0,-143.23,-208658.0,157380.0
4,4.0,358,0,191,-51278.0,-143.23,-208658.0,157380.0
5,4.0,358,0,191,-51278.0,-143.23,-208658.0,157380.0
1,2.0,358,0,318,-62577.0,-174.8,-208658.0,146081.0
2,2.0,358,0,318,-62577.0,-174.8,-208658.0,146081.0
3,2.0,358,0,318,-62577.0,-174.8,-208658.0,146081.0
4,2.0,358,0,318,-62577.0,-174.8,-208658.0,146081.0
5,2.0,358,0,318,-62577.0,-174.8,-208658.0,146081.0
8,1.0,120,238,111,-70261.0,-585.51,-208658.0,138397.0
9,1.0,92,266,84,-86501.0,-940.23,-208658.0,122157.0
10,1.0,65,293,62,-89871.0,-1382.63,-208658.0,118787.0
1,7.0,358,0,41,-94378.0,-263.63,-208658.0,114280.0
