day,offset_points,target_points,trades_taken,trades_dropped,target_hit_count_model,net_pnl_model,expectancy_model,baseline_day_net,delta_vs_day_baseline,day_trade_count
2026-03-11,1,1.0,57,0,57,28500.0,500.0,85500.0,-57000.0,57
2026-03-12,1,1.0,23,0,23,19140.0,832.17,57420.0,-38280.0,23
2026-03-13,1,1.0,22,0,22,11040.0,501.82,33120.0,-22080.0,22
2026-03-18,1,1.0,42,0,41,-11793.0,-280.79,49225.0,-61018.0,42
2026-03-19,1,1.0,49,0,44,-248084.0,-5062.94,-428880.0,180796.0,49
2026-03-20,1,1.0,53,0,50,6180.0,116.6,28757.0,-22577.0,53
2026-03-23,1,1.0,55,0,47,-7425.0,-135.0,-12000.0,4575.0,55
2026-03-24,1,1.0,57,0,43,-36750.0,-644.74,-21800.0,-14950.0,57
2026-03-11,1,2.0,57,0,57,57000.0,1000.0,85500.0,-28500.0,57
2026-03-12,1,2.0,23,0,23,38280.0,1664.35,57420.0,-19140.0,23
2026-03-13,1,2.0,22,0,22,22080.0,1003.64,33120.0,-11040.0,22
2026-03-18,1,2.0,42,0,40,11575.0,275.6,49225.0,-37650.0,42
2026-03-19,1,2.0,49,0,44,-162064.0,-3307.43,-428880.0,266816.0,49
2026-03-20,1,2.0,53,0,48,1777.0,33.53,28757.0,-26980.0,53
2026-03-23,1,2.0,55,0,43,-7925.0,-144.09,-12000.0,4075.0,55
2026-03-24,1,2.0,57,0,41,-23300.0,-408.77,-21800.0,-1500.0,57
2026-03-11,1,3.0,57,0,57,85500.0,1500.0,85500.0,0.0,57
2026-03-12,1,3.0,23,0,23,57420.0,2496.52,57420.0,0.0,23
2026-03-13,1,3.0,22,0,22,33120.0,1505.45,33120.0,0.0,22
2026-03-18,1,3.0,42,0,39,49225.0,1172.02,49225.0,0.0,42
2026-03-19,1,3.0,49,0,42,-428880.0,-8752.65,-428880.0,-0.0,49
2026-03-20,1,3.0,53,0,48,28757.0,542.58,28757.0,-0.0,53
2026-03-23,1,3.0,55,0,37,-10500.0,-190.91,-12000.0,1500.0,55
2026-03-24,1,3.0,57,0,38,-17300.0,-303.51,-21800.0,4500.0,57
2026-03-11,1,4.0,57,0,40,105500.0,1850.88,85500.0,20000.0,57
2026-03-12,1,4.0,23,0,14,69000.0,3000.0,57420.0,11580.0,23
2026-03-13,1,4.0,22,0,9,37720.0,1714.55,33120.0,4600.0,22
2026-03-18,1,4.0,42,0,17,68805.0,1638.21,49225.0,19580.0,42
2026-03-19,1,4.0,49,0,30,-373140.0,-7615.1,-428880.0,55740.0,49
2026-03-20,1,4.0,53,0,31,46137.0,870.51,28757.0,17380.0,53
2026-03-23,1,4.0,55,0,21,-1000.0,-18.18,-12000.0,11000.0,55
2026-03-24,1,4.0,57,0,29,-4300.0,-75.44,-21800.0,17500.0,57
2026-03-11,1,5.0,57,0,21,106500.0,1868.42,85500.0,21000.0,57
2026-03-12,1,5.0,23,0,9,72500.0,3152.17,57420.0,15080.0,23
2026-03-13,1,5.0,22,0,5,37960.0,1725.45,33120.0,4840.0,22
2026-03-18,1,5.0,42,0,8,67625.0,1610.12,49225.0,18400.0,42
2026-03-19,1,5.0,49,0,18,-358400.0,-7314.29,-428880.0,70480.0,49
2026-03-20,1,5.0,53,0,16,46517.0,877.68,28757.0,17760.0,53
2026-03-23,1,5.0,55,0,14,2500.0,45.45,-12000.0,14500.0,55
2026-03-24,1,5.0,57,0,16,-4300.0,-75.44,-21800.0,17500.0,57
2026-03-11,1,6.0,57,0,14,106500.0,1868.42,85500.0,21000.0,57
2026-03-12,1,6.0,23,0,6,73320.0,3187.83,57420.0,15900.0,23
2026-03-13,1,6.0,22,0,4,38820.0,1764.55,33120.0,5700.0,22
2026-03-18,1,6.0,42,0,4,62485.0,1487.74,49225.0,13260.0,42
2026-03-19,1,6.0,49,0,12,-359100.0,-7328.57,-428880.0,69780.0,49
2026-03-20,1,6.0,53,0,8,41897.0,790.51,28757.0,13140.0,53
2026-03-23,1,6.0,55,0,8,0.0,0.0,-12000.0,12000.0,55
2026-03-24,1,6.0,57,0,12,-2800.0,-49.12,-21800.0,19000.0,57
2026-03-11,1,7.0,57,0,8,101500.0,1780.7,85500.0,16000.0,57
2026-03-12,1,7.0,23,0,2,64380.0,2799.13,57420.0,6960.0,23
2026-03-13,1,7.0,22,0,2,37040.0,1683.64,33120.0,3920.0,22
2026-03-18,1,7.0,42,0,2,57945.0,1379.64,49225.0,8720.0,42
2026-03-19,1,7.0,49,0,4,-398320.0,-8128.98,-428880.0,30560.0,49
2026-03-20,1,7.0,53,0,6,41877.0,790.13,28757.0,13120.0,53
2026-03-23,1,7.0,55,0,6,0.0,0.0,-12000.0,12000.0,55
2026-03-24,1,7.0,57,0,11,1200.0,21.05,-21800.0,23000.0,57
2026-03-11,1,8.0,57,0,4,95500.0,1675.44,85500.0,10000.0,57
2026-03-12,1,8.0,23,0,2,66120.0,2874.78,57420.0,8700.0,23
2026-03-13,1,8.0,22,0,0,33120.0,1505.45,33120.0,0.0,22
2026-03-18,1,8.0,42,0,2,60125.0,1431.55,49225.0,10900.0,42
2026-03-19,1,8.0,49,0,4,-390680.0,-7973.06,-428880.0,38200.0,49
2026-03-20,1,8.0,53,0,3,36957.0,697.3,28757.0,8200.0,53
2026-03-23,1,8.0,55,0,4,-2000.0,-36.36,-12000.0,10000.0,55
2026-03-24,1,8.0,57,0,7,-3800.0,-66.67,-21800.0,18000.0,57
2026-03-11,2,1.0,57,0,57,28500.0,500.0,85500.0,-57000.0,57
2026-03-12,2,1.0,23,0,23,19140.0,832.17,57420.0,-38280.0,23
2026-03-13,2,1.0,22,0,22,11040.0,501.82,33120.0,-22080.0,22
2026-03-18,2,1.0,42,0,41,-11793.0,-280.79,49225.0,-61018.0,42
2026-03-19,2,1.0,49,0,44,-248084.0,-5062.94,-428880.0,180796.0,49
2026-03-20,2,1.0,53,0,50,6180.0,116.6,28757.0,-22577.0,53
2026-03-23,2,1.0,55,0,47,-7425.0,-135.0,-12000.0,4575.0,55
2026-03-24,2,1.0,57,0,43,-36750.0,-644.74,-21800.0,-14950.0,57
2026-03-11,2,2.0,57,0,57,57000.0,1000.0,85500.0,-28500.0,57
2026-03-12,2,2.0,23,0,23,38280.0,1664.35,57420.0,-19140.0,23
2026-03-13,2,2.0,22,0,22,22080.0,1003.64,33120.0,-11040.0,22
2026-03-18,2,2.0,42,0,40,11575.0,275.6,49225.0,-37650.0,42
2026-03-19,2,2.0,49,0,44,-162064.0,-3307.43,-428880.0,266816.0,49
2026-03-20,2,2.0,53,0,48,1777.0,33.53,28757.0,-26980.0,53
2026-03-23,2,2.0,55,0,43,-7925.0,-144.09,-12000.0,4075.0,55
