trade_id,date,symbol,signal_kind,side,entry_time,exit_time,entry_price,exit_price,gross_pnl,net_pnl,holding_seconds,exit_reason,pre_or_post_1pm,continuation_or_reversal,call_or_put,burst_score_reconstructed,label_bad_trade,label_target_bucket,ml_ready_entry_features,ml_ready_target_label,current_bucket,actual_points,best_possible_points,fallback_hold_points,trade_alive_at_1s,trade_alive_at_3s,exit_cut_points_1s,exit_cut_points_3s,idx_pre_velocity_aligned,idx_pre_accel_aligned,opt_pre_velocity_5s,opt_pre_depth_imb_mean,opt_pre_spread_mean,pre_entry_option_tick_count,pre_entry_index_tick_count,pnl_0p25s,pnl_0p5s,feat_pnl_1s,feat_runup_1s,feat_drawdown_1s,feat_pnl_3s,feat_runup_3s,feat_drawdown_3s,feat_velocity_decay_ratio,label_exit_bad_trade,checkpoint
20260401T092501|BFO:SENSEX2640273600CE|CONTINUATION_CALL|CALL,2026-04-01,BFO:SENSEX2640273600CE,CONTINUATION_CALL,CALL,2026-04-01T09:25:01.922999,2026-04-01T09:25:06,658.0,661.0,1500.0,1500.0,4.077001,TARGET_HIT,PRE_1PM,CONTINUATION,CALL,5.0,False,extend_to_5,True,True,extend_to_7,3.0,6.399999999999977,6.399999999999977,True,True,1.1499999999999773,0.5499999999999545,1.7011266559390603,4.298947787533594,0.9333333333333181,0.0907843137254902,1.75,4.0,5.0,1.9500000000000457,1.9500000000000457,1.9500000000000457,1.9500000000000457,1.9500000000000457,1.1499999999999773,1.9500000000000457,1.1499999999999773,0.19658119658118806,0,1s
20260401T093005|BFO:SENSEX2640273700CE|CONTINUATION_CALL|CALL,2026-04-01,BFO:SENSEX2640273700CE,CONTINUATION_CALL,CALL,2026-04-01T09:30:05.596253,2026-04-01T09:30:07,648.25,651.25,1500.0,1500.0,1.403747,TARGET_HIT,PRE_1PM,CONTINUATION,CALL,3.0,False,extend_to_7,True,True,keep_3,3.0,8.850000000000023,0.35000000000002274,True,False,6.399999999999977,8.850000000000023,4.588149378078629,1.8916024587878333,1.6166666666666742,-0.19292681371924011,1.2875000000000227,4.0,5.0,,0.3999999999999772,0.3999999999999772,0.3999999999999772,0.3999999999999772,6.5,6.5,0.3999999999999772,5.416666666666975,0,1s
20260401T094027|BFO:SENSEX2640273400CE|REVERSAL_CALL|CALL,2026-04-01,BFO:SENSEX2640273400CE,REVERSAL_CALL,CALL,2026-04-01T09:40:27.694020,2026-04-01T09:40:30,691.65,694.65,1500.0,1500.0,2.30598,TARGET_HIT,PRE_1PM,REVERSAL,CALL,3.0,False,extend_to_7,True,True,keep_3,3.0,12.050000000000068,8.850000000000023,True,False,2.3999999999999773,6.850000000000023,3.646587177069256,2.023793069912499,3.4250000000000114,0.03848060584303468,1.5999999999999848,3.0,5.0,,1.3500000000000227,1.3500000000000227,1.3500000000000227,1.3500000000000227,4.399999999999977,4.399999999999977,1.3500000000000227,1.0864197530863957,0,1s
20260401T094516|BFO:SENSEX2640273500CE|CONTINUATION_CALL|CALL,2026-04-01,BFO:SENSEX2640273500CE,CONTINUATION_CALL,CALL,2026-04-01T09:45:16.174824,2026-04-01T09:45:23,655.2,658.2,1500.0,1500.0,6.825176,TARGET_HIT,PRE_1PM,CONTINUATION,CALL,0.0,False,extend_to_7,True,True,keep_3,3.0,7.0499999999999545,1.8999999999999773,True,True,,-2.1000000000000227,0.8179748258385838,,1.3833333333333637,-0.22512820512820514,1.612499999999983,4.0,4.0,,,,,,-2.1000000000000227,-1.150000000000091,-2.1000000000000227,,0,1s
20260401T095039|BFO:SENSEX2640273600CE|CONTINUATION_CALL|CALL,2026-04-01,BFO:SENSEX2640273600CE,CONTINUATION_CALL,CALL,2026-04-01T09:50:39.637208,2026-04-01T09:50:51.266124,651.85,649.2,-1324.9999999999886,-1324.9999999999886,11.628916,EARLY_RISK_EXIT,PRE_1PM,CONTINUATION,CALL,2.0,True,bad_trade,True,True,keep_3,-2.6499999999999773,10.600000000000023,10.600000000000023,True,True,-1.6000000000000227,0.1499999999999772,1.192202503536177,3.202237941593159,-1.6999999999999318,-0.07465472191116088,1.6749999999999545,2.0,6.0,,-1.8500000000000227,-1.8500000000000227,-1.8500000000000227,-1.8500000000000227,0.1499999999999772,0.1499999999999772,-1.8500000000000227,-0.027027027027022584,1,1s
20260401T095505|BFO:SENSEX2640273700CE|CONTINUATION_CALL|CALL,2026-04-01,BFO:SENSEX2640273700CE,CONTINUATION_CALL,CALL,2026-04-01T09:55:05.356796,2026-04-01T09:55:07,617.45,620.45,1500.0,1500.0,1.643204,TARGET_HIT,PRE_1PM,CONTINUATION,CALL,0.0,False,keep_3,True,True,keep_3,3.0,4.649999999999977,-3.300000000000068,True,False,3.3999999999999773,-0.8500000000000227,1.4199816200592907,1.3371558042052767,0.39999999999997726,-0.36936936936936937,1.275000000000034,2.0,6.0,,,1.0499999999999543,1.0499999999999543,1.0499999999999543,4.649999999999977,4.649999999999977,1.0499999999999543,1.4761904761905333,0,1s
20260401T100019|BFO:SENSEX2640274000PE|CONTINUATION_PUT|PUT,2026-04-01,BFO:SENSEX2640274000PE,CONTINUATION_PUT,PUT,2026-04-01T10:00:19.184771,2026-04-01T10:00:31.272799,593.85,569.8,-12025.000000000035,-12025.000000000035,12.088028,EARLY_RISK_EXIT,PRE_1PM,CONTINUATION,PUT,3.0,True,bad_trade,True,True,keep_3,-24.050000000000068,-17.700000000000045,-18.550000000000068,True,True,-5.649999999999977,-10.649999999999975,2.4978639863714913,4.066559353403161,-0.7250000000000227,0.046114915680133074,0.9666666666666212,3.0,5.0,,,-5.050000000000068,-5.050000000000068,-5.050000000000068,-5.649999999999977,-5.050000000000068,-5.649999999999977,0.37293729372936635,1,1s
20260401T100511|BFO:SENSEX2640273700CE|CONTINUATION_CALL|CALL,2026-04-01,BFO:SENSEX2640273700CE,CONTINUATION_CALL,CALL,2026-04-01T10:05:11.415003,2026-04-01T10:05:40,657.6,659.6,1000.0,1000.0,28.584997,TARGET_HIT,PRE_1PM,CONTINUATION,CALL,3.0,False,keep_3,True,True,keep_3,2.0,2.449999999999932,-15.450000000000045,True,True,-1.8999999999999773,-4.800000000000068,2.7553678416078733,6.328910612497822,0.38333333333332575,0.06373415856174476,1.7125000000000057,4.0,5.0,,,2.3999999999999773,2.3999999999999773,2.3999999999999773,-4.149999999999977,2.3999999999999773,-4.149999999999977,-0.5763888888888912,0,1s
20260401T102005|BFO:SENSEX2640273500CE|CONTINUATION_CALL|CALL,2026-04-01,BFO:SENSEX2640273500CE,CONTINUATION_CALL,CALL,2026-04-01T10:20:06.220367,2026-04-01T10:20:18.251076,672.85,663.3,-4775.000000000035,-4775.000000000035,12.030709,EARLY_RISK_EXIT,PRE_1PM,CONTINUATION,CALL,5.0,True,bad_trade,True,True,extend_to_7,-9.55000000000007,-5.30000000000007,-8.05000000000007,True,True,-0.6000000000000227,-2.8500000000000227,1.687243117235401,6.021300780358759,2.3000000000000114,0.07674418604651163,1.1333333333333258,3.0,5.0,,,-4.050000000000068,-4.050000000000068,-4.050000000000068,-0.8500000000000227,-0.6000000000000227,-4.050000000000068,0.0699588477366262,1,1s
20260401T102513|BFO:SENSEX2640273800PE|CONTINUATION_PUT|PUT,2026-04-01,BFO:SENSEX2640273800PE,CONTINUATION_PUT,PUT,2026-04-01T10:25:13.868556,2026-04-01T10:25:19,595.7,598.7,1500.0,1500.0,5.131444,TARGET_HIT,PRE_1PM,CONTINUATION,PUT,5.0,False,extend_to_7,True,True,extend_to_7,3.0,24.299999999999955,24.299999999999955,True,True,2.2999999999999545,2.5,3.026087414864956,4.235187460633047,1.9500000000000075,0.0872054747054747,1.487499999999983,4.0,5.0,2.7999999999999545,2.7999999999999545,2.7999999999999545,2.7999999999999545,2.7999999999999545,1.949999999999932,2.7999999999999545,1.949999999999932,0.2321428571428528,0,1s
