scope,metric,value
overall,trade_count,557.0
overall,win_rate,0.7109515260323159
overall,gross_profit,558850.0
overall,gross_loss,-682124.9999999993
overall,net_pnl,-123274.99999999939
overall,average_pnl,-221.31956912028616
overall,median_pnl,1500.0
overall,max_gain,1500.0
overall,max_loss,-22274.999999999978
overall,profit_factor,0.8192779915704608
overall,expectancy,-221.31956912028616
overall,hold_time_mean,8.666263296229802
overall,hold_time_median,5.94619
overall,mfe_mean,3.6299820466786374
overall,mae_mean,-4.19326750448833
overall,loss_concentration_worst_1,-22274.999999999978
overall,loss_concentration_worst_3,-52674.999999999956
overall,loss_concentration_worst_5,-78100.00000000001
overall,loss_concentration_worst_10,-135125.00000000015
date=2026-03-23,trade_count,55.0
date=2026-03-23,win_rate,0.7090909090909091
date=2026-03-23,gross_profit,55999.99999999994
date=2026-03-23,gross_loss,-67999.99999999988
date=2026-03-23,net_pnl,-11999.999999999942
date=2026-03-23,average_pnl,-218.18181818181714
date=2026-03-23,median_pnl,1500.0
date=2026-03-23,max_gain,1500.0
date=2026-03-23,max_loss,-5500.000000000056
date=2026-03-23,profit_factor,0.8235294117647064
date=2026-03-23,expectancy,-218.18181818181714
date=2026-03-23,hold_time_mean,9.435163927272727
date=2026-03-23,hold_time_median,3.441361
date=2026-03-23,mfe_mean,3.8072727272727414
date=2026-03-23,mae_mean,-3.0809090909090875
date=2026-03-23,loss_concentration_worst_1,-5500.000000000056
date=2026-03-23,loss_concentration_worst_3,-16300.000000000067
date=2026-03-23,loss_concentration_worst_5,-26375.00000000006
date=2026-03-23,loss_concentration_worst_10,-47899.99999999998
date=2026-03-24,trade_count,57.0
date=2026-03-24,win_rate,0.7017543859649122
date=2026-03-24,gross_profit,54500.0
date=2026-03-24,gross_loss,-76299.9999999999
date=2026-03-24,net_pnl,-21799.999999999894
date=2026-03-24,average_pnl,-382.45614035087533
date=2026-03-24,median_pnl,1500.0
date=2026-03-24,max_gain,1500.0
date=2026-03-24,max_loss,-12000.0
date=2026-03-24,profit_factor,0.7142857142857152
date=2026-03-24,expectancy,-382.45614035087533
date=2026-03-24,hold_time_mean,7.55193396491228
date=2026-03-24,hold_time_median,7.766695
date=2026-03-24,mfe_mean,4.1096491228070136
date=2026-03-24,mae_mean,-5.600000000000003
date=2026-03-24,loss_concentration_worst_1,-12000.0
date=2026-03-24,loss_concentration_worst_3,-30574.99999999999
date=2026-03-24,loss_concentration_worst_5,-42849.99999999997
date=2026-03-24,loss_concentration_worst_10,-62599.99999999996
date=2026-03-25,trade_count,51.0
date=2026-03-25,win_rate,0.7058823529411765
date=2026-03-25,gross_profit,48500.0
date=2026-03-25,gross_loss,-56400.0
date=2026-03-25,net_pnl,-7899.999999999993
date=2026-03-25,average_pnl,-154.9019607843136
date=2026-03-25,median_pnl,1000.0
