trade_id,source_has_enriched,source_has_inventory,source_has_early_path,source_has_trade_ticks,symbol,signal_kind,side,date,data_patch_era,entry_time,exit_time,signal_time,source_candle_start,trigger_price,entry_price,exit_price,gross_pnl,net_pnl,charges,exit_reason,holding_seconds,mfe,mae,entry_spread,exit_spread,entry_slippage_points,exit_slippage_points,underlying_spot_at_entry,target_points_used,hard_stop_points_used,fragile,pre_or_post_1pm,continuation_or_reversal,call_or_put,summary_version,post_exit_points_best_recovery,post_exit_points_worst_further_loss,post_exit_recovered_above_exit,post_exit_final_delta_15s,first_move_direction,first_positive_seconds,first_negative_seconds,time_to_plus_1,time_to_plus_2,time_to_minus_1,time_to_minus_3,time_to_minus_5,feature_extraction_status,has_trade_ticks,has_underlying_ticks,has_futures_ticks,has_depth,has_subsecond_time,fill_method,label_final,pnl_0p25s,runup_0p25s,drawdown_0p25s,tick_velocity_0p25s,spread_0p25s,depth_imbalance_0p25s,underlying_move_0p25s,underlying_velocity_0p25s,pnl_0p5s,runup_0p5s,drawdown_0p5s,tick_velocity_0p5s,spread_0p5s,depth_imbalance_0p5s,underlying_move_0p5s,underlying_velocity_0p5s,pnl_1s,runup_1s,drawdown_1s,tick_velocity_1s,spread_1s,depth_imbalance_1s,underlying_move_1s,underlying_velocity_1s,pnl_2s,runup_2s,drawdown_2s,tick_velocity_2s,spread_2s,depth_imbalance_2s,underlying_move_2s,underlying_velocity_2s,pnl_3s,runup_3s,drawdown_3s,tick_velocity_3s,spread_3s,depth_imbalance_3s,underlying_move_3s,underlying_velocity_3s,pnl_5s,runup_5s,drawdown_5s,tick_velocity_5s,spread_5s,depth_imbalance_5s,underlying_move_5s,underlying_velocity_5s,counterfactual_exit_pnl_1s,counterfactual_exit_pnl_3s,counterfactual_exit_pnl_5s,immediate_confirmation_flag,immediate_rejection_flag,quote_quality_degradation_flag,label_bad_trade,label_target_bucket,has_post_exit_recovery,has_pre_entry_microburst_features,ml_ready_entry_features,ml_ready_target_label,pre_entry_option_tick_count,pre_entry_index_tick_count,opt_pre_ltp_first,opt_pre_ltp_last,opt_pre_move_5s,opt_pre_velocity_5s,opt_pre_velocity_first_half,opt_pre_velocity_second_half,opt_pre_accel,opt_pre_spread_mean,opt_pre_spread_std,opt_pre_depth_imb_mean,opt_pre_depth_imb_std,opt_pre_bid_qty5_mean,opt_pre_ask_qty5_mean,idx_pre_ltp_first,idx_pre_ltp_last,idx_pre_move_5s,idx_pre_velocity_5s,idx_pre_velocity_first_half,idx_pre_velocity_second_half,idx_pre_accel_raw,idx_pre_move_aligned,idx_pre_velocity_aligned,idx_pre_accel_aligned,burst_score_reconstructed,burst_score_components,ckpt_0p25_available,num_price_changes_0p25s,ckpt_0p5_available,num_price_changes_0p5s,ckpt_1p0_available,pnl_1p0s,runup_1p0s,drawdown_1p0s,spread_1p0s,depth_imbalance_1p0s,num_price_changes_1p0s,ckpt_2p0_available,pnl_2p0s,runup_2p0s,drawdown_2p0s,spread_2p0s,depth_imbalance_2p0s,num_price_changes_2p0s,ckpt_3p0_available,pnl_3p0s,runup_3p0s,drawdown_3p0s,spread_3p0s,depth_imbalance_3p0s,num_price_changes_3p0s,ckpt_5p0_available,pnl_5p0s,runup_5p0s,drawdown_5p0s,spread_5p0s,depth_imbalance_5p0s,num_price_changes_5p0s,velocity_0_1s_reconstructed,velocity_2_3s_reconstructed,velocity_decay_ratio_3s_reconstructed,feat_pnl_1s,feat_runup_1s,feat_drawdown_1s,feat_pnl_3s,feat_runup_3s,feat_drawdown_3s,feat_velocity_decay_ratio,current_bucket,actual_points,best_possible_points,fallback_hold_points,exit_cut_points_1s,exit_cut_points_3s,trade_alive_at_1s,trade_alive_at_3s
20260323T092500|BFO:SENSEX26MAR73400PE|CONTINUATION_PUT|PUT,False,True,True,False,BFO:SENSEX26MAR73400PE,CONTINUATION_PUT,PUT,2026-03-23,pre_1s3s_patch,2026-03-23T09:25:00.958541,2026-03-23T09:25:04.253297,,,,982.25,985.25,1500.0,1500.0,,TARGET_HIT,3.294756,4.600000000000023,-1.2999999999999543,,,0.0,-1.6000000000000227,,,,,PRE_1PM,CONTINUATION,PUT,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,True
20260323T093001|BFO:SENSEX26MAR73000CE|CONTINUATION_CALL|CALL,False,True,True,False,BFO:SENSEX26MAR73000CE,CONTINUATION_CALL,CALL,2026-03-23,pre_1s3s_patch,2026-03-23T09:30:01.204575,2026-03-23T09:30:12.385176,,,,1013.1,1015.1,1000.0,1000.0,,TARGET_HIT,11.180601,5.5499999999999545,-2.1000000000000227,,,0.0,-3.5499999999999545,,,,,PRE_1PM,CONTINUATION,CALL,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,2.0,,,,,True,True
20260323T093522|BFO:SENSEX26MAR73100CE|CONTINUATION_CALL|CALL,False,True,True,False,BFO:SENSEX26MAR73100CE,CONTINUATION_CALL,CALL,2026-03-23,pre_1s3s_patch,2026-03-23T09:35:23.166949,2026-03-23T09:35:24.255468,,,,987.3,990.3,1500.0,1500.0,,TARGET_HIT,1.088519,10.550000000000068,0.0,,,0.0,-7.550000000000068,,,,,PRE_1PM,CONTINUATION,CALL,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,False
20260323T094025|BFO:SENSEX26MAR73500PE|REVERSAL_PUT|PUT,False,True,True,False,BFO:SENSEX26MAR73500PE,REVERSAL_PUT,PUT,2026-03-23,pre_1s3s_patch,2026-03-23T09:40:25.810571,2026-03-23T09:40:26.903129,,,,1010.4,1013.4,1500.0,1500.0,,TARGET_HIT,1.092558,3.4500000000000455,0.0,,,0.0,-0.4500000000000455,,,,,PRE_1PM,REVERSAL,PUT,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,False
20260323T094503|BFO:SENSEX26MAR73400PE|CONTINUATION_PUT|PUT,False,True,True,False,BFO:SENSEX26MAR73400PE,CONTINUATION_PUT,PUT,2026-03-23,pre_1s3s_patch,2026-03-23T09:45:03.737347,2026-03-23T09:45:04.835998,,,,971.3,974.3,1500.0,1500.0,,TARGET_HIT,1.098651,7.850000000000023,0.0,,,0.0,-4.850000000000023,,,,,PRE_1PM,CONTINUATION,PUT,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,False
20260323T095005|BFO:SENSEX26MAR73300PE|CONTINUATION_PUT|PUT,False,True,True,False,BFO:SENSEX26MAR73300PE,CONTINUATION_PUT,PUT,2026-03-23,pre_1s3s_patch,2026-03-23T09:50:05.868612,2026-03-23T09:50:08.166636,,,,994.1,997.1,1500.0,1500.0,,TARGET_HIT,2.298024,3.8999999999999777,-1.5500000000000682,,,0.0,-0.8999999999999773,,,,,PRE_1PM,CONTINUATION,PUT,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,False
20260323T095503|BFO:SENSEX26MAR73200PE|CONTINUATION_PUT|PUT,False,True,True,False,BFO:SENSEX26MAR73200PE,CONTINUATION_PUT,PUT,2026-03-23,pre_1s3s_patch,2026-03-23T09:55:03.344710,2026-03-23T09:55:11.271887,,,,1024.15,1013.15,-5500.000000000056,-5500.000000000056,,HARD_STOP_EXIT,7.927177,1.449999999999818,-11.000000000000114,,,0.0,0.0,,,,,PRE_1PM,CONTINUATION,PUT,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,loser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,bad_trade,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,-11.000000000000112,,,,,True,True
20260323T100001|BFO:SENSEX26MAR73100PE|CONTINUATION_PUT|PUT,False,True,True,False,BFO:SENSEX26MAR73100PE,CONTINUATION_PUT,PUT,2026-03-23,pre_1s3s_patch,2026-03-23T10:00:01.824916,2026-03-23T10:00:04.013854,,,,1018.05,1021.05,1500.0,1500.0,,TARGET_HIT,2.188938,3.25,0.0,,,0.0,-0.25,,,,,PRE_1PM,CONTINUATION,PUT,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,False
20260323T100508|BFO:SENSEX26MAR72800CE|CONTINUATION_CALL|CALL,False,True,True,False,BFO:SENSEX26MAR72800CE,CONTINUATION_CALL,CALL,2026-03-23,pre_1s3s_patch,2026-03-23T10:05:08.472916,2026-03-23T10:05:12.856043,,,,1024.35,1027.35,1500.0,1500.0,,TARGET_HIT,4.383127,3.900000000000091,0.0,,,0.0,-0.900000000000091,,,,,PRE_1PM,CONTINUATION,CALL,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,True
20260323T101001|BFO:SENSEX26MAR72800CE|CONTINUATION_CALL|CALL,False,True,True,False,BFO:SENSEX26MAR72800CE,CONTINUATION_CALL,CALL,2026-03-23,pre_1s3s_patch,2026-03-23T10:10:01.667129,2026-03-23T10:10:02.795892,,,,1022.0,1025.0,1500.0,1500.0,,TARGET_HIT,1.128763,7.25,0.0,,,0.0,-4.25,,,,,PRE_1PM,CONTINUATION,CALL,,,,,,,,,,,,,,NO_OPTION_TICKS,False,False,False,False,False,trade_scoped,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,unknown,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keep_3,3.0,,,,,True,False
