date,trades,enriched,inventory,early_path,trade_ticks,post_exit_recovery,ml_ready_entry,ml_ready_target,bad_trades
2026-03-23,55,0,55,55,0,0,0,16,16
2026-03-24,57,0,57,57,0,0,0,17,17
2026-03-25,51,0,51,51,0,0,0,15,15
2026-03-27,48,0,48,48,0,0,0,16,16
2026-03-30,54,0,54,54,0,0,0,20,20
2026-04-01,57,57,57,57,57,57,57,57,16
2026-04-02,57,57,57,57,57,57,57,57,19
2026-04-06,53,53,53,53,53,53,53,53,14
2026-04-07,18,18,18,18,18,18,18,18,3
2026-04-08,35,35,35,35,35,35,35,35,5
2026-04-09,25,25,25,25,25,25,25,25,3
2026-04-10,47,47,47,47,47,47,47,47,17
2026-04-13,50,50,0,0,50,50,50,50,25
2026-04-15,46,46,0,0,46,46,46,46,30
2026-04-16,56,56,0,0,56,56,56,56,24
2026-04-17,50,50,0,0,50,50,50,50,34
2026-04-20,51,51,0,0,51,51,51,51,32
2026-04-21,42,42,0,0,42,42,42,42,30
2026-04-22,46,46,0,0,46,46,46,46,30
2026-04-23,54,54,0,0,54,54,54,54,36
2026-04-24,52,52,0,0,52,52,52,52,32
