column,non_null_count,dtype,example
trade_id,1004,str,20260323T092500|BFO:SENSEX26MAR73400PE|CONTINUATION_PUT|PUT
source_has_enriched,1004,bool,False
source_has_inventory,1004,bool,True
source_has_early_path,1004,bool,True
source_has_trade_ticks,1004,bool,False
symbol,1004,str,BFO:SENSEX26MAR73400PE
signal_kind,1004,str,CONTINUATION_PUT
side,1004,str,PUT
date,1004,str,2026-03-23
data_patch_era,1004,str,pre_1s3s_patch
entry_time,1004,str,2026-03-23T09:25:00.958541
exit_time,1004,str,2026-03-23T09:25:04.253297
signal_time,739,str,2026-04-01T09:20:11.173526
source_candle_start,739,str,2026-04-01T09:20:00
trigger_price,739,float64,73813.77
entry_price,1004,float64,982.25
exit_price,1004,float64,985.25
gross_pnl,1004,float64,1500.0
net_pnl,1004,float64,1500.0
charges,739,float64,0.0
exit_reason,1004,str,TARGET_HIT
holding_seconds,1004,float64,3.294756
mfe,1004,float64,4.600000000000023
mae,1004,float64,-1.2999999999999543
entry_spread,739,float64,1.4499999999999318
exit_spread,739,float64,1.8999999999999773
entry_slippage_points,1004,float64,0.0
exit_slippage_points,1004,float64,-1.6000000000000227
underlying_spot_at_entry,739,float64,73814.07
target_points_used,739,float64,3.0
hard_stop_points_used,739,float64,8.0
fragile,739,object,False
pre_or_post_1pm,1004,str,PRE_1PM
continuation_or_reversal,1004,str,CONTINUATION
call_or_put,1004,str,PUT
summary_version,739,str,post_exit_enriched
post_exit_points_best_recovery,739,float64,4.849999999999909
post_exit_points_worst_further_loss,739,float64,-17.40000000000009
post_exit_recovered_above_exit,739,object,True
post_exit_final_delta_15s,739,float64,-8.100000000000023
first_move_direction,739,str,POSITIVE
first_positive_seconds,569,float64,0.520443
first_negative_seconds,475,float64,1.825176
time_to_plus_1,502,float64,0.520443
time_to_plus_2,426,float64,0.520443
time_to_minus_1,380,float64,1.825176
time_to_minus_3,209,float64,4.362792
time_to_minus_5,126,float64,0.0
feature_extraction_status,557,str,NO_OPTION_TICKS
has_trade_ticks,1004,bool,False
has_underlying_ticks,557,object,False
has_futures_ticks,557,object,False
has_depth,557,object,False
has_subsecond_time,557,object,False
fill_method,557,str,trade_scoped
label_final,265,str,winner
pnl_0p25s,509,float64,1.9500000000000457
runup_0p25s,509,float64,1.9500000000000457
drawdown_0p25s,509,float64,1.9500000000000457
tick_velocity_0p25s,62,float64,7.800000000000182
spread_0p25s,509,float64,1.3500000000000227
depth_imbalance_0p25s,509,float64,0.2
underlying_move_0p25s,62,float64,0.0
underlying_velocity_0p25s,62,float64,0.0
pnl_0p5s,567,float64,1.9500000000000457
runup_0p5s,567,float64,1.9500000000000457
drawdown_0p5s,567,float64,1.9500000000000457
tick_velocity_0p5s,120,float64,3.900000000000091
spread_0p5s,567,float64,1.3500000000000227
depth_imbalance_0p5s,567,float64,0.2
underlying_move_0p5s,120,float64,0.0
underlying_velocity_0p5s,120,float64,0.0
pnl_1s,231,float64,6.949999999999932
runup_1s,231,float64,6.949999999999932
drawdown_1s,231,float64,6.949999999999932
tick_velocity_1s,231,float64,6.949999999999932
spread_1s,231,float64,1.8999999999999773
depth_imbalance_1s,231,float64,0.5
underlying_move_1s,231,float64,5.459999999991851
underlying_velocity_1s,231,float64,5.459999999991851
pnl_2s,277,float64,7.849999999999909
runup_2s,277,float64,7.849999999999909
drawdown_2s,277,float64,6.949999999999932
tick_velocity_2s,277,float64,3.9249999999999545
spread_2s,277,float64,1.8500000000000227
depth_imbalance_2s,277,float64,-0.1428571428571428
underlying_move_2s,277,float64,4.819999999992433
underlying_velocity_2s,277,float64,2.4099999999962165
pnl_3s,286,float64,4.5
runup_3s,286,float64,7.849999999999909
drawdown_3s,286,float64,4.5
tick_velocity_3s,286,float64,1.5
spread_3s,286,float64,1.8000000000000682
depth_imbalance_3s,286,float64,-0.25
underlying_move_3s,286,float64,6.929999999993015
underlying_velocity_3s,286,float64,2.3099999999976717
pnl_5s,290,float64,-13.200000000000044
runup_5s,290,float64,7.849999999999909
drawdown_5s,290,float64,-13.200000000000044
tick_velocity_5s,290,float64,-2.640000000000009
spread_5s,290,float64,1.5499999999999543
depth_imbalance_5s,290,float64,-0.3333333333333333
underlying_move_5s,290,float64,-9.020000000004076
underlying_velocity_5s,290,float64,-1.804000000000815
counterfactual_exit_pnl_1s,226,float64,7.849999999999909
counterfactual_exit_pnl_3s,271,float64,0.0
counterfactual_exit_pnl_5s,278,float64,-5.4500000000000455
immediate_confirmation_flag,292,float64,1.0
immediate_rejection_flag,292,float64,0.0
quote_quality_degradation_flag,292,float64,0.0
label_bad_trade,1004,bool,False
label_target_bucket,1004,str,unknown
has_post_exit_recovery,1004,bool,False
has_pre_entry_microburst_features,1004,bool,False
ml_ready_entry_features,1004,bool,False
ml_ready_target_label,1004,bool,False
pre_entry_option_tick_count,739,float64,5.0
pre_entry_index_tick_count,739,float64,4.0
opt_pre_ltp_first,721,float64,695.1
opt_pre_ltp_last,721,float64,688.2
opt_pre_move_5s,721,float64,-6.899999999999977
opt_pre_velocity_5s,693,float64,-1.7249999999999943
opt_pre_velocity_first_half,544,float64,-5.275000000000034
opt_pre_velocity_second_half,390,float64,5.4500000000000455
opt_pre_accel,344,float64,10.72500000000008
opt_pre_spread_mean,721,float64,1.6799999999999726
opt_pre_spread_std,721,float64,0.20396078054370095
