date,has_trades_log,has_events_log,has_trades_enriched,has_sensex_ticks,has_futures_ticks,has_options_ticks,has_trade_scoped_ticks,trade_tick_file_count,has_depth_fields,subsecond_timestamp_supported,trade_ids_reconcilable,entry_exit_matchable_to_ticks,data_trust_score,confidence_bucket,notes
2026-03-13,True,False,False,False,False,False,False,0,False,False,0.0,0.0,15.0,UNUSABLE,missing events log; missing trade scoped ticks; missing sensex ticks; missing futures ticks; no reconcilable trade ids
2026-03-18,True,False,False,False,False,False,False,0,False,False,0.0,0.0,15.0,UNUSABLE,missing events log; missing trade scoped ticks; missing sensex ticks; missing futures ticks; no reconcilable trade ids
2026-03-19,True,False,False,False,False,False,False,0,False,False,0.0,0.0,15.0,UNUSABLE,missing events log; missing trade scoped ticks; missing sensex ticks; missing futures ticks; no reconcilable trade ids
2026-03-20,True,False,False,False,False,False,False,0,False,False,0.0,0.0,15.0,UNUSABLE,missing events log; missing trade scoped ticks; missing sensex ticks; missing futures ticks; no reconcilable trade ids
2026-03-23,True,True,True,False,False,False,False,0,False,False,55.0,0.0,40.0,LOW,missing trade scoped ticks; missing sensex ticks; missing futures ticks
2026-03-24,True,True,True,False,False,False,False,0,False,False,57.0,0.0,40.0,LOW,missing trade scoped ticks; missing sensex ticks; missing futures ticks
2026-03-25,True,True,True,False,False,False,False,0,False,False,51.0,0.0,40.0,LOW,missing trade scoped ticks; missing sensex ticks; missing futures ticks
2026-03-27,True,True,True,False,False,False,False,0,False,False,48.0,0.0,40.0,LOW,missing trade scoped ticks; missing sensex ticks; missing futures ticks
2026-03-30,True,True,True,False,True,False,False,0,True,True,54.0,0.0,55.0,MEDIUM,missing trade scoped ticks; missing sensex ticks
2026-04-01,True,True,True,True,True,False,True,57,True,True,57.0,1.0,95.0,HIGH,
2026-04-02,True,True,True,True,True,False,True,57,True,True,57.0,1.0,95.0,HIGH,
2026-04-06,True,True,True,True,True,False,True,53,True,True,53.0,1.0,95.0,HIGH,
2026-04-07,True,True,True,True,True,False,True,18,True,True,18.0,1.0,95.0,HIGH,
2026-04-08,True,True,True,True,True,False,True,35,True,True,35.0,1.0,95.0,HIGH,
2026-04-09,True,True,True,True,True,False,True,25,True,True,25.0,1.0,95.0,HIGH,
2026-04-10,True,True,True,True,True,False,True,47,True,True,47.0,1.0,95.0,HIGH,
