trade_nature,signal_kind,tod_bucket,exit_reason,trades,win_rate,net_pnl,avg_pnl,median_pnl,max_loss,avg_hold_s
TAIL_MANUAL_EXIT,CONTINUATION_CALL,PRE_1PM,MANUAL_EXIT,1,0.0,-316414.0,-316414.0,-316414.0,-316414.0,1747.48449
TAIL_MANUAL_EXIT,CONTINUATION_PUT,PRE_1PM,MANUAL_EXIT,1,0.0,-176320.0,-176320.0,-176320.0,-176320.0,472.298064
TAIL_MANUAL_EXIT,REVERSAL_PUT,PRE_1PM,MANUAL_EXIT,1,0.0,-84609.00000000001,-84609.00000000001,-84609.00000000001,-84609.00000000001,257.567349
TAIL_TIME_STOP,CONTINUATION_CALL,POST_1PM,TIME_STOP_AFTER_1PM,4,0.0,-81222.00000000009,-20305.500000000022,-18449.49999999997,-37492.000000000095,60.671619
TAIL_TIME_STOP,CONTINUATION_PUT,POST_1PM,TIME_STOP_AFTER_1PM,3,0.0,-59114.99999999991,-19704.99999999997,-22009.99999999998,-23431.999999999985,60.606259666666666
TAIL_TIME_STOP,UNKNOWN,POST_1PM,TIME_STOP_AFTER_1PM,1,0.0,-58232.999999999956,-58232.999999999956,-58232.999999999956,-58232.999999999956,61.157623
TAIL_MANUAL_EXIT,UNKNOWN,PRE_1PM,MANUAL_EXIT,1,0.0,-20832.000000000025,-20832.000000000025,-20832.000000000025,-20832.000000000025,723.254037
CONTROLLED_MANUAL_LOSS,CONTINUATION_PUT,PRE_1PM,MANUAL_EXIT,1,0.0,-4640.0,-4640.0,-4640.0,-4640.0,219.62027
TIME_STOP_LOSS,UNKNOWN,POST_1PM,TIME_STOP_AFTER_1PM,1,0.0,-4130.0,-4130.0,-4130.0,-4130.0,61.145285
TIME_STOP_LOSS,CONTINUATION_CALL,POST_1PM,TIME_STOP_AFTER_1PM,1,0.0,-2403.0000000000246,-2403.0000000000246,-2403.0000000000246,-2403.0000000000246,60.691262
OPEN_OR_INCOMPLETE,UNKNOWN,PRE_1PM,,6,0.0,0.0,,,,
OPEN_OR_INCOMPLETE,UNKNOWN,POST_1PM,,3,0.0,0.0,,,,
STANDARD_WIN,CONTINUATION_CALL,PRE_1PM,TARGET_HIT,1,1.0,1620.0,1620.0,1620.0,1620.0,18.655834
STANDARD_WIN,CONTINUATION_PUT,POST_1PM,TARGET_HIT,1,1.0,1740.0,1740.0,1740.0,1740.0,41.885186
CLEAN_MOMENTUM_SCALP_WIN,REVERSAL_CALL,PRE_1PM,TARGET_HIT,2,1.0,3360.0000000000637,1680.0000000000318,1680.0000000000318,1680.0,4.914289500000001
RECOVERY_TARGET_WIN,REVERSAL_PUT,PRE_1PM,TARGET_HIT,2,1.0,3480.0,1740.0,1740.0,1680.0,19.7943225
CLEAN_MOMENTUM_SCALP_WIN,REVERSAL_CALL,POST_1PM,TARGET_HIT,1,1.0,5880.0,5880.0,5880.0,5880.0,7.790817
STANDARD_WIN,UNKNOWN,PRE_1PM,TARGET_HIT,3,1.0,6480.0,2160.0,1680.0,1620.0,51.77403733333333
STANDARD_WIN,UNKNOWN,POST_1PM,TARGET_HIT,4,1.0,7680.0,1920.0,1500.0,1500.0,29.418963
