feature,decile,events,avg_MFE_3s,avg_MAE_3s,avg_MFE_10s,hit_plus_3_rate,tradable_after_cost_0_5pt_rate
option_move_pre_1s,0,270,1.4374074074074021,-2.67685185185185,3.711481481481481,0.24444444444444444,0.22962962962962963
option_move_pre_1s,1,282,1.5152482269503469,-1.4648936170212763,2.7645390070921927,0.2978723404255319,0.2695035460992908
option_move_pre_1s,2,273,1.4029304029304022,-1.4113553113553063,2.4857142857142853,0.24175824175824176,0.19413919413919414
option_move_pre_1s,3,826,0.8357142857142863,-0.8961259079903162,1.9046610169491525,0.19612590799031476,0.1682808716707022
option_move_pre_1s,4,235,0.6174468085106384,-0.8131914893616986,1.0640425531914905,0.1148936170212766,0.10638297872340426
option_move_pre_1s,5,274,1.0647810218978098,-1.8301094890510972,2.1067518248175183,0.291970802919708,0.24087591240875914
option_move_pre_1s,6,266,1.6105263157894805,-1.4005639097744376,3.0828947368421087,0.37969924812030076,0.31203007518796994
option_move_pre_1s,7,263,1.368441064638781,-2.7087452471482893,3.486692015209123,0.2737642585551331,0.20532319391634982
sensex_move_3s,0,272,0.7018382352941159,-0.7115808823529364,1.8327205882352922,0.15808823529411764,0.09926470588235294
sensex_move_3s,1,271,0.9854243542435417,-0.8664206642066423,2.248339483394836,0.23247232472324722,0.19557195571955718
sensex_move_3s,2,265,0.8343396226415123,-0.9160377358490577,1.8862264150943415,0.2339622641509434,0.17735849056603772
sensex_move_3s,3,269,0.9460966542750923,-1.0401486988847561,1.7903345724907072,0.21933085501858737,0.17472118959107807
sensex_move_3s,4,268,0.7875000000000008,-1.0177238805970152,1.523507462686569,0.16791044776119404,0.1417910447761194
sensex_move_3s,5,268,1.209141791044776,-1.811380597014923,3.0044776119403003,0.30223880597014924,0.26492537313432835
sensex_move_3s,6,270,1.7396296296296248,-2.147407407407404,3.3679629629629595,0.37777777777777777,0.337037037037037
sensex_move_3s,7,269,1.4408921933085426,-2.8169144981412653,3.4968401486988783,0.3159851301115242,0.26022304832713755
sensex_move_3s,8,277,1.2483754512635385,-1.5907942238267163,2.4783393501805078,0.19494584837545126,0.18050541516245489
sensex_move_3s,9,260,1.700384615384619,-2.1213461538461615,2.9178846153846116,0.24615384615384617,0.24615384615384617
spread,0,254,0.0389763779527559,-0.140748031496063,0.10551181102362206,0.0,0.0
spread,1,191,0.41806282722513033,-0.25732984293193606,0.6562827225130885,0.05759162303664921,0.05759162303664921
spread,2,212,0.8035377358490589,-1.037735849056605,1.7945754716981137,0.2169811320754717,0.17452830188679244
spread,3,236,1.2779661016949149,-1.7743644067796616,2.9110169491525433,0.2584745762711864,0.211864406779661
spread,4,197,1.06370558375634,-1.2809644670050784,2.747969543147203,0.2639593908629442,0.233502538071066
spread,5,229,1.4172489082969408,-1.6899563318777253,2.6984716157205253,0.2925764192139738,0.2445414847161572
spread,6,264,1.2333333333333356,-1.8458333333333317,2.136174242424247,0.21212121212121213,0.17045454545454544
spread,7,166,1.3192771084337331,-2.2207831325301135,3.303614457831326,0.3493975903614458,0.25301204819277107
spread,8,214,2.002336448598124,-2.798831775700935,4.350700934579434,0.3177570093457944,0.29439252336448596
spread,9,209,1.4619617224880392,-2.9990430622009576,2.901435406698563,0.3157894736842105,0.2966507177033493
tick_rate_last_5s,0,483,1.3425465838509294,-1.2455486542443062,2.7343685300207006,0.2836438923395445,0.2360248447204969
tick_rate_last_5s,1,1147,0.8998256320836961,-1.4622929380993894,2.0007410636442895,0.2153443766346992,0.17175239755884916
tick_rate_last_5s,2,678,1.3537610619469,-1.743141592920355,2.778392330383479,0.26253687315634217,0.23156342182890854
tick_rate_last_5s,3,286,1.2180069930069999,-1.6374125874125842,2.7769230769230844,0.2727272727272727,0.26223776223776224
tick_rate_last_5s,4,95,1.758947368421044,-1.1563157894736837,3.204210526315785,0.18947368421052632,0.15789473684210525
top_depth,0,425,1.4117647058823475,-1.836470588235294,2.9970588235294087,0.31529411764705884,0.2823529411764706
top_depth,1,243,1.6220164609053525,-1.5899176954732481,3.311316872427987,0.3786008230452675,0.3497942386831276
top_depth,2,362,1.255801104972377,-1.799171270718229,2.442679558011052,0.26795580110497236,0.20718232044198895
top_depth,3,135,1.4885185185185175,-1.2637037037037058,2.3525925925925883,0.2518518518518518,0.17777777777777778
top_depth,4,168,0.7875000000000001,-2.0127976190476184,2.0860119047619037,0.1488095238095238,0.10714285714285714
top_depth,5,207,1.2275362318840595,-1.685748792270529,3.0753623188405794,0.28502415458937197,0.2222222222222222
top_depth,6,198,1.4194444444444378,-3.1409090909090938,3.1744949494949464,0.19696969696969696,0.19696969696969696
top_depth,7,220,0.21431818181818146,-0.6186363636363637,0.5006818181818182,0.022727272727272728,0.022727272727272728
top_depth,8,214,0.04742990654205607,-0.05070093457943924,0.1060747663551402,0.0,0.0
