date,variant,entry_time,exit_time,direction,symbol,strike,expiry,sensex_at_entry,sensex_move_3s,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,hold_seconds,mfe,mae,option_move_1s,option_move_3s,sync_passed,vacuum_available,vacuum_passed,spread_now,median_spread_10s,top_depth_now,median_top_depth_10s,time_bucket,regime
2026-04-27,A_impulse_only,2026-04-27T14:45:03,2026-04-27T14:45:04,CE,BFO:SENSEX26APR76900CE,76900,2026-04-30,76946.44,90.38999999999942,855.65,855.3,-0.35000000000002274,-175.00000000001137,-175.00000000001137,KILL_1S,1.0,0.0,-0.35000000000002274,0.0,8.399999999999977,False,True,False,2.599999999999909,2.5,80.0,100.0,14:00-15:00,clean_trend_impulse
2026-04-27,A_impulse_only,2026-04-27T14:45:23,2026-04-27T14:45:34,PE,BFO:SENSEX26APR77000PE,77000,2026-04-30,77040.15,-49.560000000012224,375.55,376.7,1.1499999999999773,574.9999999999886,574.9999999999886,MAX_HOLD,11.0,2.1499999999999773,-0.19999999999998863,-0.5500000000000114,-1.5500000000000114,False,True,False,0.6999999999999886,0.9000000000000341,140.0,140.0,14:00-15:00,late_session_impulse
2026-04-27,A_impulse_only,2026-04-27T14:45:39,2026-04-27T14:45:40,PE,BFO:SENSEX26APR77000PE,77000,2026-04-30,77025.81,-43.04000000000815,378.0,378.0,0.0,0.0,0.0,KILL_1S,1.0,0.0,0.0,0.4000000000000341,0.4500000000000455,True,True,False,0.75,0.9499999999999886,140.0,90.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T14:45:56,2026-04-27T14:45:57,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77054.23,32.13999999999942,710.95,710.95,0.0,0.0,0.0,KILL_1S,1.0,0.0,0.0,3.599999999999909,-0.8000000000000682,True,True,False,1.9500000000000455,1.900000000000034,180.0,110.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T14:46:13,2026-04-27T14:46:17,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77149.47,39.88999999999942,712.8,712.05,-0.75,-375.0,-375.0,KILL_3S,4.0,1.2000000000000455,-0.75,1.5499999999999545,1.5499999999999545,True,True,False,1.8999999999999773,1.9499999999999318,100.0,110.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T14:46:34,2026-04-27T14:46:37,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77072.46,27.74000000000524,705.6,710.1,4.5,2250.0,2250.0,TARGET_HIT,3.0,4.5,0.0,-0.8999999999999773,-0.8999999999999773,False,True,False,2.0,1.9500000000000455,160.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T14:47:35,2026-04-27T14:47:37,CE,BFO:SENSEX26APR77000CE,77000,2026-04-30,77024.18,35.00999999999476,777.55,786.7,9.150000000000091,4575.0000000000455,4575.0000000000455,TARGET_HIT,2.0,9.150000000000091,0.0,1.4499999999999318,2.3999999999999773,True,True,False,2.150000000000091,2.1499999999999773,300.0,120.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T14:48:04,2026-04-27T14:48:05,CE,BFO:SENSEX26APR77000CE,77000,2026-04-30,77010.95,26.139999999999418,783.3,782.05,-1.25,-625.0,-625.0,KILL_1S,1.0,0.0,-1.25,0.0,-1.1499999999999773,False,True,False,1.9499999999999318,1.7000000000000455,140.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T14:49:30,2026-04-27T14:49:31,PE,BFO:SENSEX26APR77000PE,77000,2026-04-30,77023.58,-26.0,387.55,387.2,-0.35000000000002274,-175.00000000001137,-175.00000000001137,KILL_1S,1.0,0.0,-0.35000000000002274,-1.6000000000000227,0.39999999999997726,False,True,False,1.1499999999999773,1.0,120.0,160.0,14:00-15:00,choppy_fake_impulse
2026-04-27,A_impulse_only,2026-04-27T14:50:06,2026-04-27T14:50:08,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77084.92,26.95999999999185,719.2,718.65,-0.5500000000000682,-275.0000000000341,-275.0000000000341,KILL_1S,2.0,0.0,-0.5500000000000682,0.0,6.2000000000000455,False,True,False,1.3000000000000682,1.9499999999999318,120.0,150.0,14:00-15:00,choppy_fake_impulse
