threshold,objective_value,winner_giveback_ratio,exit_rate,total_policy_pnl,feasible,fold_id,calibration_date
0.1,-1199.999999999648,0.34929356357927227,1.0,-1199.999999999648,False,1,2026-04-10
0.15,-1199.999999999648,0.34929356357927227,1.0,-1199.999999999648,False,1,2026-04-10
0.2,-1199.999999999648,0.34929356357927227,1.0,-1199.999999999648,False,1,2026-04-10
0.25,-1199.999999999648,0.34929356357927227,1.0,-1199.999999999648,False,1,2026-04-10
0.3,-1199.999999999648,0.34929356357927227,1.0,-1199.999999999648,False,1,2026-04-10
0.35,-1199.999999999648,0.34929356357927227,1.0,-1199.999999999648,False,1,2026-04-10
0.4,2025.0000000003756,0.24018838304551968,0.85,2025.0000000003756,False,1,2026-04-10
0.45,-14399.999999999753,0.13422291993720487,0.175,-14399.999999999753,False,1,2026-04-10
0.5,-28349.999999999796,0.13422291993720487,0.025,-28349.999999999796,False,1,2026-04-10
0.55,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.6,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.65,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.7,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.75,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.8,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.85,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.9,-24074.999999999818,0.0,0.0,-24074.999999999818,True,1,2026-04-10
0.1,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.15,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.2,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.25,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.3,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.35,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.4,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.45,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.5,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.55,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.6,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.65,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.7,-13724.999999999907,1.0566666666666569,1.0,-13724.999999999907,False,2,2026-04-13
0.75,-16400.000000000146,0.0,0.0,-16400.000000000146,True,2,2026-04-13
0.8,-16400.000000000146,0.0,0.0,-16400.000000000146,True,2,2026-04-13
0.85,-16400.000000000146,0.0,0.0,-16400.000000000146,True,2,2026-04-13
0.9,-16400.000000000146,0.0,0.0,-16400.000000000146,True,2,2026-04-13
0.1,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.15,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.2,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.25,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.3,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.35,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.4,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.45,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.5,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.55,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.6,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
