rule_id,rule_type,description,trades_total,trades_modified,trades_filtered_out,win_rate,avg_pnl,median_pnl,max_loss,avg_holding_seconds,expectancy,net_pnl,net_pnl_change_vs_baseline,large_losers_avoided,winners_prematurely_killed,winners_flipped_to_loss
FILTER_REVERSAL_ONLY_WHEN_KNOWN,entry_filter,"When signal_kind is known, take only reversal setups.",193,39,39,0.974025974025974,1226.597402597402,1560.0,-84609.00000000001,91.12609460389609,1226.597402597402,188895.99999999988,392511.0,6,33,
EXIT_ON_EARLY_FAILURE_EVENT,early_exit,Exit when EARLY_FAILURE_SIGNAL is logged.,193,25,0,0.8497409326424871,-547.507772020726,1500.0,-316414.0,81.0881625284974,-547.507772020726,-105669.00000000012,97946.0,5,19,19.0
EXIT_WITH_GLOBAL_180S_TIME_STOP,early_exit,Exit at first mark after 180s if still open.,193,17,0,0.8808290155440415,-742.9015544041454,2100.0,-90668.00000000006,41.40410913989636,-742.9015544041454,-143380.00000000006,60235.00000000006,4,13,13.0
FILTER_KEEP_BEFORE_1400,entry_filter,Only take entries before 14:00.,193,31,31,0.9629629629629629,-1011.9629629629633,2280.0,-316414.0,91.42053100617284,-1011.9629629629633,-163938.00000000006,39677.00000000006,4,27,
FILTER_CONTINUATION_ONLY_WHEN_KNOWN,entry_filter,"When signal_kind is known, take only continuation setups.",193,10,10,0.9508196721311475,-913.9125683060122,2100.0,-316414.0,93.47120898360657,-913.9125683060122,-167246.00000000023,36368.99999999988,1,9,
EXIT_WITH_GLOBAL_90S_TIME_STOP,early_exit,Exit at first mark after 90s if still open.,193,31,0,0.8134715025906736,-977.0466321243518,1679.9999999999363,-78763.99999999993,30.53515997927461,-977.0466321243518,-188569.9999999999,15045.000000000204,4,27,26.0
FILTER_KEEP_BEFORE_1300,entry_filter,Only take entries before 13:00.,193,57,57,0.9705882352941176,-1573.4926470588248,2580.0,-316414.0,101.14359331617646,-1573.4926470588248,-213995.00000000017,-10380.000000000058,5,51,
FILTER_KEEP_BEFORE_1330,entry_filter,Only take entries before 13:30.,193,46,46,0.9591836734693877,-1461.346938775511,2220.0,-316414.0,98.17788954421768,-1461.346938775511,-214818.00000000012,-11203.0,4,42,
EXIT_IF_STAGNANT_AND_BELOW_ENTRY_10S,early_exit,"At 10s, if MFE < 0.5 and still below entry, exit.",193,47,0,0.7409326424870466,-1167.7046632124343,1500.0,-316414.0,36.86043383419689,-1167.7046632124343,-225366.99999999983,-21751.99999999971,6,40,40.0
EXIT_IF_NO_PROGRESS_10S_MFE_LT_0_5,early_exit,"At 10s, if MFE < 0.5 then exit.",193,47,0,0.7409326424870466,-1167.7046632124343,1500.0,-316414.0,36.86043383419689,-1167.7046632124343,-225366.99999999983,-21751.99999999971,6,40,40.0
FILTER_ENTRY_DELAY_LE_40S,entry_filter,Skip entries triggered later than 40s into the source candle.,193,23,23,0.9411764705882353,-1415.852941176471,2880.0,-316414.0,95.55804602941176,-1415.852941176471,-240695.00000000006,-37079.99999999994,0,23,
FILTER_ENTRY_DELAY_LE_30S,entry_filter,Skip entries triggered later than 30s into the source candle.,193,31,31,0.9382716049382716,-1645.4012345679016,2820.0,-316414.0,98.22468195061728,-1645.4012345679016,-266555.00000000006,-62939.99999999994,0,31,
EXIT_IF_ADVERSE_2PTS_WITHIN_5S,early_exit,Exit on -2 points adverse move within 5s.,193,90,0,0.5233160621761658,-1898.8549222797924,1500.0,-316414.0,21.730514844559583,-1898.8549222797924,-366478.99999999994,-162863.99999999983,7,82,82.0
EXIT_IF_NO_PROGRESS_15S_MFE_LT_1_0,early_exit,"At 15s, if MFE < 1.0 then exit.",193,56,0,0.6994818652849741,-2104.7720207253897,1500.0,-316414.0,27.56918596373057,-2104.7720207253897,-406221.00000000023,-202606.00000000012,5,48,48.0
FILTER_REQUIRE_SIGNAL_KIND_KNOWN,entry_filter,Require signal_kind to be logged.,193,144,144,0.8571428571428571,-8752.653061224488,5280.0,-316414.0,76.34798365306122,-8752.653061224488,-428879.99999999994,-225264.99999999983,2,141,
EXIT_IF_NO_PROGRESS_20S_MFE_LT_1_5,early_exit,"At 20s, if MFE < 1.5 then exit.",193,58,0,0.7150259067357513,-2412.2331606217617,1500.0,-316414.0,30.25313346632124,-2412.2331606217617,-465561.0,-261945.99999999988,5,50,45.0
EXIT_IF_ADVERSE_5PTS_WITHIN_15S,early_exit,Exit on -5 points adverse move within 15s.,193,76,0,0.5906735751295337,-2518.8393782383446,1500.0,-316414.0,22.834636575129533,-2518.8393782383446,-486136.00000000047,-282521.00000000035,6,69,69.0
EXIT_IF_ADVERSE_3PTS_WITHIN_10S,early_exit,Exit on -3 points adverse move within 10s.,193,95,0,0.49222797927461137,-3398.5336787564775,-1500.0,-316414.0,17.411192943005176,-3398.5336787564775,-655917.0000000001,-452302.0,6,88,88.0
