trade_id,signal_kind,signal_family,direction,entry_time,trigger_time_proxy,source_candle_start,entry_price,target_price,quantity,exit_time,exit_reason,holding_seconds,realized_points,realized_pnl,early_failure_logged,early_failure_mark_time,early_failure_duration_seconds,spot_revert_toward_trigger_testable,spot_revert_toward_trigger,spot_revert_note,mark_count,first_mark_time,last_mark_time,first_favorable_seconds,first_favorable_points,first_adverse_seconds,first_adverse_points,mfe_points,mae_points,max_drawdown_points,runup_5s,runup_10s,runup_15s,drawdown_5s,drawdown_10s,drawdown_15s,drawdown_20s,time_to_minus_1,time_to_minus_2,time_to_minus_3,time_to_plus_0_5,time_to_plus_1,option_premium_failed_confirmation,move_stalled,time_near_entry_before_damage_accel_seconds,loss_expansion_pattern,spot_revert_proxy_from_option_path,focus_manual_or_time_stop,focus_top10_pnl,focus_top10_drawdown,focus_major_loser
BFO:SENSEX2631975100CE|2026-03-19T09:25:27.273627,CONTINUATION_CALL,CONTINUATION,CALL,2026-03-19 09:25:27.273627,2026-03-19 09:25:27.273821,2026-03-19 09:25:00,376.9,379.9,1520,2026-03-19 09:25:29.482535,TARGET_HIT,2.208908,3.0,4560.0,True,2026-03-19 09:25:28.384888,1.111261,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,2,2026-03-19 09:25:28.384888,2026-03-19 09:25:29.482535,2.208908,5.850000000000023,1.111261,-4.349999999999966,5.850000000000023,-4.349999999999966,4.349999999999966,5.850000000000023,5.850000000000023,5.850000000000023,-4.349999999999966,-4.349999999999966,-4.349999999999966,-4.349999999999966,1.111261,1.111261,1.111261,2.208908,2.208908,False,False,0.0,immediate,False,False,False,False,False
BFO:SENSEX2631975400PE|2026-03-19T09:30:12.814187,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 09:30:12.814187,2026-03-19 09:30:12.814437,2026-03-19 09:30:00,412.5,415.5,1400,2026-03-19 09:30:13.911033,TARGET_HIT,1.096846,3.0,4200.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,1,2026-03-19 09:30:13.911033,2026-03-19 09:30:13.911033,1.096846,9.75,,,9.75,9.75,0.0,9.75,9.75,9.75,9.75,9.75,9.75,9.75,,,,1.096846,1.096846,False,False,,no_accelerated_damage,False,False,True,False,True
BFO:SENSEX2631975300PE|2026-03-19T09:35:04.328751,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 09:35:04.328751,2026-03-19 09:35:04.328938,2026-03-19 09:35:00,359.7,362.7,1600,2026-03-19 09:35:19.698095,TARGET_HIT,15.369344,3.0,4800.0,True,2026-03-19 09:35:05.425290,1.096539,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,14,2026-03-19 09:35:05.425290,2026-03-19 09:35:19.698095,14.274805,2.3000000000000114,1.096539,-8.099999999999966,4.150000000000034,-8.099999999999966,8.099999999999966,-0.8499999999999659,-0.3499999999999659,2.3000000000000114,-8.099999999999966,-8.099999999999966,-8.099999999999966,-8.099999999999966,1.096539,1.096539,1.096539,14.274805,14.274805,True,False,0.0,immediate,False,False,False,False,False
BFO:SENSEX2631975200PE|2026-03-19T09:40:08.447217,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 09:40:08.447217,2026-03-19 09:40:08.447530,2026-03-19 09:40:00,372.8,375.8,1540,2026-03-19 09:40:10.650637,TARGET_HIT,2.20342,3.0,4620.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,2,2026-03-19 09:40:09.547124,2026-03-19 09:40:10.650637,1.099907,2.1499999999999773,,,4.0,2.1499999999999773,0.0,4.0,4.0,4.0,2.1499999999999773,2.1499999999999773,2.1499999999999773,2.1499999999999773,,,,1.099907,1.099907,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975200PE|2026-03-19T09:45:05.790509,REVERSAL_PUT,REVERSAL,PUT,2026-03-19 09:45:05.790509,2026-03-19 09:45:05.791446,2026-03-19 09:45:00,364.2,367.2,1580,2026-03-19 09:45:09.045047,TARGET_HIT,3.254538,3.0,4740.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,3,2026-03-19 09:45:06.877178,2026-03-19 09:45:09.045047,1.086669,0.35000000000002274,,,4.300000000000011,0.35000000000002274,0.0,4.300000000000011,4.300000000000011,4.300000000000011,0.35000000000002274,0.35000000000002274,0.35000000000002274,0.35000000000002274,,,,2.172516,2.172516,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975100PE|2026-03-19T09:50:00.270839,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 09:50:00.270839,2026-03-19 09:50:00.270984,2026-03-19 09:50:00,357.95,360.95,1620,2026-03-19 09:50:46.160652,TARGET_HIT,45.889813,3.0,4860.0,True,2026-03-19 09:50:02.454792,2.183953,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,42,2026-03-19 09:50:01.357657,2026-03-19 09:50:46.160652,7.665215,1.9499999999999886,2.183953,-4.800000000000011,4.050000000000011,-11.75,11.75,0.0,2.6999999999999886,2.6999999999999886,-4.800000000000011,-4.800000000000011,-4.800000000000011,-4.800000000000011,2.183953,2.183953,2.183953,7.665215,7.665215,False,False,1.086818,immediate,False,False,False,False,False
BFO:SENSEX2631974700CE|2026-03-19T09:55:26.427574,REVERSAL_CALL,REVERSAL,CALL,2026-03-19 09:55:26.427574,2026-03-19 09:55:26.427756,2026-03-19 09:55:00,414.2,417.2,1400,2026-03-19 09:55:41.912389,TARGET_HIT,15.484815,3.0,4200.0,True,2026-03-19 09:55:29.718614,3.29104,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,14,2026-03-19 09:55:27.521922,2026-03-19 09:55:41.912389,15.484815,4.150000000000034,1.094348,-0.39999999999997726,4.150000000000034,-5.75,5.75,-0.39999999999997726,-0.39999999999997726,-0.39999999999997726,-4.699999999999989,-5.75,-5.75,-5.75,3.29104,3.29104,3.29104,15.484815,15.484815,True,True,1.094348,immediate,False,False,True,False,True
BFO:SENSEX2631975100PE|2026-03-19T10:00:09.117322,REVERSAL_PUT,REVERSAL,PUT,2026-03-19 10:00:09.117322,2026-03-19 10:00:09.117466,2026-03-19 10:00:00,365.75,368.75,1580,2026-03-19 10:04:26.684671,MANUAL_EXIT,257.567349,-53.55000000000001,-84609.00000000001,True,2026-03-19 10:00:12.396197,3.278875,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,233,2026-03-19 10:00:10.213361,2026-03-19 10:04:25.630047,1.096039,0.30000000000001137,2.184272,-1.0500000000000114,0.35000000000002274,-59.94999999999999,59.94999999999999,0.30000000000001137,0.30000000000001137,0.30000000000001137,-3.6499999999999773,-10.25,-16.55000000000001,-16.55000000000001,2.184272,3.278875,3.278875,,,True,True,1.096039,immediate,True,True,True,True,True
BFO:SENSEX2631974800CE|2026-03-19T10:05:35.267364,CONTINUATION_CALL,CONTINUATION,CALL,2026-03-19 10:05:35.267364,2026-03-19 10:05:35.267535,2026-03-19 10:05:00,400.05,403.05,1440,2026-03-19 10:05:36.424539,TARGET_HIT,1.157175,3.0,4320.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,1,2026-03-19 10:05:36.424539,2026-03-19 10:05:36.424539,1.157175,5.5,,,5.5,5.5,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,1.157175,1.157175,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975200PE|2026-03-19T10:10:01.468622,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 10:10:01.468622,2026-03-19 10:10:01.468955,2026-03-19 10:10:00,369.7,372.7,1560,2026-03-19 10:10:03.654320,TARGET_HIT,2.185698,3.0,4680.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,2,2026-03-19 10:10:02.562730,2026-03-19 10:10:03.654320,1.094108,1.0500000000000114,,,4.400000000000034,1.0500000000000114,0.0,4.400000000000034,4.400000000000034,4.400000000000034,1.0500000000000114,1.0500000000000114,1.0500000000000114,1.0500000000000114,,,,1.094108,1.094108,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975100PE|2026-03-19T10:15:01.576536,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 10:15:01.576536,2026-03-19 10:15:01.576651,2026-03-19 10:15:00,364.7,367.7,1580,2026-03-19 10:15:02.690848,TARGET_HIT,1.114312,3.0,4740.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,1,2026-03-19 10:15:02.690848,2026-03-19 10:15:02.690848,1.114312,6.449999999999989,,,6.449999999999989,6.449999999999989,0.0,6.449999999999989,6.449999999999989,6.449999999999989,6.449999999999989,6.449999999999989,6.449999999999989,6.449999999999989,,,,1.114312,1.114312,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975100PE|2026-03-19T10:20:02.358870,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 10:20:02.358870,2026-03-19 10:20:02.359011,2026-03-19 10:20:00,379.8,382.8,1520,2026-03-19 10:27:54.656934,MANUAL_EXIT,472.298064,-116.0,-176320.0,True,2026-03-19 10:20:03.467528,1.108658,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,427,2026-03-19 10:20:03.467528,2026-03-19 10:27:53.594933,6.625805,0.3499999999999659,1.108658,-2.400000000000034,0.3499999999999659,-129.70000000000002,129.70000000000002,-0.5,0.3499999999999659,0.3499999999999659,-2.400000000000034,-2.400000000000034,-12.949999999999989,-12.949999999999989,1.108658,1.108658,10.086845,,,True,True,0.0,immediate,False,True,True,True,True
BFO:SENSEX2631974800CE|2026-03-19T10:30:01.465720,CONTINUATION_CALL,CONTINUATION,CALL,2026-03-19 10:30:01.465720,2026-03-19 10:30:01.465976,2026-03-19 10:30:00,408.5,411.5,1400,2026-03-19 10:30:04.762635,TARGET_HIT,3.296915,3.0,4200.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,3,2026-03-19 10:30:02.562537,2026-03-19 10:30:04.762635,1.096817,1.25,,,4.899999999999977,1.25,0.0,4.899999999999977,4.899999999999977,4.899999999999977,1.25,1.25,1.25,1.25,,,,1.096817,1.096817,False,False,,no_accelerated_damage,False,False,True,False,True
