policy_id,policy_name,exact_rule_text,assumptions,simulation_method,trade_count,evaluable_trade_count,net_pnl,avg_pnl,median_pnl,max_loss,max_gain,profit_factor,expectancy,winners_lost,losers_prevented,tail_losers_prevented,killed_before_1s,killed_before_2s,killed_before_3s,killed_before_5s
C_FAST_INVALIDATION_HARDSTOP,Fast invalidation + hard-stop,Exit at 2s if runup_2s < 0.75; else exit at 5s if drawdown_5s <= -4,Two-stage risk floor,checkpoint counterfactual using nearest observed price at/after checkpoint,557,549,162252.15000000017,295.5412568306014,0.0,-22274.999999999978,1500.0,3.8141709189425548,295.5412568306014,61,63,25,0,115,115,132
D_CONFIRM_REQUIRED,Confirmation-required,Exit at 3s if runup_3s < 1,Require minimum favorable excursion,checkpoint counterfactual using nearest observed price at/after checkpoint,557,550,159563.25000000017,290.1150000000003,0.0,-22274.999999999978,1500.0,2.691895428232431,290.1150000000003,36,59,21,0,0,102,102
F_TIMEOFDAY_ADAPTIVE,Time-of-day adaptive,PRE_1PM: exit 2s on no-confirmation; POST_1PM: exit 1s on no-confirmation,Stricter later session,checkpoint counterfactual using nearest observed price at/after checkpoint,557,550,156660.90000000014,284.83800000000025,0.0,-22274.999999999978,1500.0,2.8934004508070457,284.83800000000025,48,55,22,34,110,110,110
A2_QUICKSTOP_2S,Pure quick-stop 2s,Exit at 2s if runup_2s < 0.75,Slightly slower confirmation window,checkpoint counterfactual using nearest observed price at/after checkpoint,557,549,154609.15000000014,281.61958105646653,0.0,-22274.999999999978,1500.0,2.878795114692686,281.61958105646653,48,59,23,0,115,115,115
B_HYBRID_KEEP_TARGET,Hybrid retain target,Exit at 2s if pnl_2s <= 0 and runup_2s < 1,Only early invalidation changed,checkpoint counterfactual using nearest observed price at/after checkpoint,557,550,142123.50000000017,258.40636363636395,0.0,-22274.999999999978,1500.0,2.4174885776891717,258.40636363636395,44,56,21,0,107,107,107
G_SIGNALTYPE_ADAPTIVE,Signal-type adaptive,Reversal: 1s invalidation; Continuation: 3s invalidation,Reversals expected to confirm faster,checkpoint counterfactual using nearest observed price at/after checkpoint,557,552,139860.10000000015,253.36974637681186,0.0,-22274.999999999978,1500.0,2.2430600087545667,253.36974637681186,37,58,20,12,12,100,100
E_TAIL_DEFENSE,Tail-defense,Exit at 1s if drawdown_1s <= -2 else at 2s if pnl_2s <= -2,Aggressive left-tail clipping,checkpoint counterfactual using nearest observed price at/after checkpoint,557,555,132707.85000000024,239.1132432432437,0.0,-22274.999999999978,1500.0,1.964078398838238,239.1132432432437,28,43,18,46,73,73,73
A1_QUICKSTOP_1S,Pure quick-stop 1s,Exit at 1s if runup_1s < 0.5,No-confirmation fast invalidation,checkpoint counterfactual using nearest observed price at/after checkpoint,557,553,118502.15000000021,214.2896021699823,0.0,-22274.999999999978,1500.0,2.031293309725706,214.2896021699823,53,49,21,106,106,106,106
I_OPERATIONAL_HARDENING,Operational hardening,Exit 2s if missing_update_1s==1 OR quote_quality_degradation_flag==1 and pnl_2s<=0,Fail-safe when feed/quote quality degrades,checkpoint counterfactual using nearest observed price at/after checkpoint,557,539,-1924.0999999999003,-3.5697588126157704,0.0,-22274.999999999978,1500.0,0.9931593417239626,-3.5697588126157704,9,10,3,0,37,37,37
H_MICROSTRUCTURE_GATED,Microstructure-gated,"Exit 1s if stale_quote_1s==1 OR spread_vs_entry_1s>2, with non-positive pnl",Quote quality must remain supportive,checkpoint counterfactual using nearest observed price at/after checkpoint,557,496,-31924.99999999992,-64.36491935483855,0.0,-22274.999999999978,1500.0,0.885337164406932,-64.36491935483855,0,0,0,61,61,61,61
