trade_id,date,symbol,signal_kind,side,entry_time,exit_time,entry_price,exit_price,gross_pnl,net_pnl,exit_reason,hold_seconds,matched_enriched,matched_events,matched_trade_ticks,matched_underlying_ticks,match_status,exclusion_reason,entry_order_id,exit_order_id,mfe,mae,pre_or_post_1pm,continuation_or_reversal,call_or_put,entry_slippage_points,exit_slippage_points,trade_tick_path,trade_tick_safe_id
20260323T092500|BFO:SENSEX26MAR73400PE|CONTINUATION_PUT|PUT,2026-03-23,BFO:SENSEX26MAR73400PE,CONTINUATION_PUT,PUT,2026-03-23T09:25:00.958541,2026-03-23T09:25:04.253297,982.25,985.25,1500.0,1500.0,TARGET_HIT,3.294756,True,True,False,False,reconciled,,PAPER-ENTRY-1,PAPER-EXIT-2,4.600000000000023,-1.2999999999999545,PRE_1PM,CONTINUATION,PUT,0.0,-1.6000000000000227,,20260323T092500_BFO_SENSEX26MAR73400PE_CONTINUATION_PUT_PUT
20260323T093001|BFO:SENSEX26MAR73000CE|CONTINUATION_CALL|CALL,2026-03-23,BFO:SENSEX26MAR73000CE,CONTINUATION_CALL,CALL,2026-03-23T09:30:01.204575,2026-03-23T09:30:12.385176,1013.1,1015.1,1000.0,1000.0,TARGET_HIT,11.180601,True,True,False,False,reconciled,,PAPER-ENTRY-3,PAPER-EXIT-4,5.5499999999999545,-2.1000000000000227,PRE_1PM,CONTINUATION,CALL,0.0,-3.5499999999999545,,20260323T093001_BFO_SENSEX26MAR73000CE_CONTINUATION_CALL_CALL
20260323T093522|BFO:SENSEX26MAR73100CE|CONTINUATION_CALL|CALL,2026-03-23,BFO:SENSEX26MAR73100CE,CONTINUATION_CALL,CALL,2026-03-23T09:35:23.166949,2026-03-23T09:35:24.255468,987.3,990.3,1500.0,1500.0,TARGET_HIT,1.088519,True,True,False,False,reconciled,,PAPER-ENTRY-5,PAPER-EXIT-6,10.550000000000068,0.0,PRE_1PM,CONTINUATION,CALL,0.0,-7.550000000000068,,20260323T093522_BFO_SENSEX26MAR73100CE_CONTINUATION_CALL_CALL
20260323T094025|BFO:SENSEX26MAR73500PE|REVERSAL_PUT|PUT,2026-03-23,BFO:SENSEX26MAR73500PE,REVERSAL_PUT,PUT,2026-03-23T09:40:25.810571,2026-03-23T09:40:26.903129,1010.4,1013.4,1500.0,1500.0,TARGET_HIT,1.092558,True,True,False,False,reconciled,,PAPER-ENTRY-7,PAPER-EXIT-8,3.4500000000000455,0.0,PRE_1PM,REVERSAL,PUT,0.0,-0.4500000000000455,,20260323T094025_BFO_SENSEX26MAR73500PE_REVERSAL_PUT_PUT
20260323T094503|BFO:SENSEX26MAR73400PE|CONTINUATION_PUT|PUT,2026-03-23,BFO:SENSEX26MAR73400PE,CONTINUATION_PUT,PUT,2026-03-23T09:45:03.737347,2026-03-23T09:45:04.835998,971.3,974.3,1500.0,1500.0,TARGET_HIT,1.098651,True,True,False,False,reconciled,,PAPER-ENTRY-9,PAPER-EXIT-10,7.850000000000023,0.0,PRE_1PM,CONTINUATION,PUT,0.0,-4.850000000000023,,20260323T094503_BFO_SENSEX26MAR73400PE_CONTINUATION_PUT_PUT
20260323T095005|BFO:SENSEX26MAR73300PE|CONTINUATION_PUT|PUT,2026-03-23,BFO:SENSEX26MAR73300PE,CONTINUATION_PUT,PUT,2026-03-23T09:50:05.868612,2026-03-23T09:50:08.166636,994.1,997.1,1500.0,1500.0,TARGET_HIT,2.298024,True,True,False,False,reconciled,,PAPER-ENTRY-11,PAPER-EXIT-12,3.8999999999999773,-1.5500000000000682,PRE_1PM,CONTINUATION,PUT,0.0,-0.8999999999999773,,20260323T095005_BFO_SENSEX26MAR73300PE_CONTINUATION_PUT_PUT
20260323T095503|BFO:SENSEX26MAR73200PE|CONTINUATION_PUT|PUT,2026-03-23,BFO:SENSEX26MAR73200PE,CONTINUATION_PUT,PUT,2026-03-23T09:55:03.344710,2026-03-23T09:55:11.271887,1024.15,1013.15,-5500.000000000056,-5500.000000000056,HARD_STOP_EXIT,7.927177,True,True,False,False,reconciled,,PAPER-ENTRY-13,PAPER-EXIT-15,1.449999999999818,-11.000000000000114,PRE_1PM,CONTINUATION,PUT,0.0,0.0,,20260323T095503_BFO_SENSEX26MAR73200PE_CONTINUATION_PUT_PUT
20260323T100001|BFO:SENSEX26MAR73100PE|CONTINUATION_PUT|PUT,2026-03-23,BFO:SENSEX26MAR73100PE,CONTINUATION_PUT,PUT,2026-03-23T10:00:01.824916,2026-03-23T10:00:04.013854,1018.05,1021.05,1500.0,1500.0,TARGET_HIT,2.188938,True,True,False,False,reconciled,,PAPER-ENTRY-16,PAPER-EXIT-17,3.25,0.0,PRE_1PM,CONTINUATION,PUT,0.0,-0.25,,20260323T100001_BFO_SENSEX26MAR73100PE_CONTINUATION_PUT_PUT
20260323T100508|BFO:SENSEX26MAR72800CE|CONTINUATION_CALL|CALL,2026-03-23,BFO:SENSEX26MAR72800CE,CONTINUATION_CALL,CALL,2026-03-23T10:05:08.472916,2026-03-23T10:05:12.856043,1024.35,1027.35,1500.0,1500.0,TARGET_HIT,4.383127,True,True,False,False,reconciled,,PAPER-ENTRY-18,PAPER-EXIT-19,3.900000000000091,0.0,PRE_1PM,CONTINUATION,CALL,0.0,-0.900000000000091,,20260323T100508_BFO_SENSEX26MAR72800CE_CONTINUATION_CALL_CALL
20260323T101001|BFO:SENSEX26MAR72800CE|CONTINUATION_CALL|CALL,2026-03-23,BFO:SENSEX26MAR72800CE,CONTINUATION_CALL,CALL,2026-03-23T10:10:01.667129,2026-03-23T10:10:02.795892,1022.0,1025.0,1500.0,1500.0,TARGET_HIT,1.128763,True,True,False,False,reconciled,,PAPER-ENTRY-20,PAPER-EXIT-21,7.25,0.0,PRE_1PM,CONTINUATION,CALL,0.0,-4.25,,20260323T101001_BFO_SENSEX26MAR72800CE_CONTINUATION_CALL_CALL
