page,timestamp,level,logger,message,raw
1,,,,,HYPOTHESIS  :
1,,,,,-  A fast 5-point move in spot will continue enough for option premium to expand by ~3 points.
1,,,,,Components of the hypothesis:
1,,,,,1.  Direction  exists : i.e. spot moved +-5
1,,,,,2.  Momentum  exists : it moved fast enough ←—  how is this a component?
1,,,,,3.  Options are responding  (delta active) : ensures +3 change in option premium
1,,,,,"4.  Continuation expected  : if it spot has moved 5 pts, it might further go another 2-3 pts which"
1,,,,,will result in option premium moving another 3 pts
1,,,,,Problem at the moment:
1,,,,,Last login: Wed Mar 18 08:04:39 on ttys076
1,,,,,ankurkumar@Ankurs-MacBook-Pro sensex-noise-papertrade % source .venv/bin/activate
1,,,,,(.venv) ankurkumar@Ankurs-MacBook-Pro sensex-noise-papertrade % python3 scripts/generate_access_token.py
1,,,,,Open this Kite login URL in your browser:
1,,,,,https://kite.zerodha.com/connect/login?api_key=c58n55shs59e5jpi&v=3
1,,,,,"After login, copy request_token from the redirect URL and paste below."
1,,,,,request_token: JsPssXjIz8eVVRD8BDLj3NUEvQCL0mmy
1,,,,,New access token generated: 80ItyFom...
1,,,,,Update .env with this KITE_ACCESS_TOKEN? [y/N]: y
1,,,,,Updated /Users/ankurkumar/Downloads/sensex-noise-papertrade/.env
1,,,,,Done.
1,,,,,(.venv) ankurkumar@Ankurs-MacBook-Pro sensex-noise-papertrade % python3 run.py
1,"2026-03-18 09:17:42,637",INFO,sensex_noise.services.instruments,Reading instrument dump from cache:,"2026-03-18 09:17:42,637 | INFO | sensex_noise.services.instruments | Reading instrument dump from cache:"
1,,,,,data/instruments.csv
1,"2026-03-18 09:17:42,764",INFO,sensex_noise.services.engine,Starting Sensex noise paper trading engine,"2026-03-18 09:17:42,764 | INFO | sensex_noise.services.engine | Starting Sensex noise paper trading engine"
1,"2026-03-18 09:17:42,764",INFO,sensex_noise.services.engine,Starting capital: ₹ 1000000.00,"2026-03-18 09:17:42,764 | INFO | sensex_noise.services.engine | Starting capital: ₹ 1000000.00"
1,"2026-03-18 09:17:42,764",INFO,sensex_noise.services.engine,Trade quantity: 500,"2026-03-18 09:17:42,764 | INFO | sensex_noise.services.engine | Trade quantity: 500"
1,"2026-03-18 09:17:42,764",INFO,sensex_noise.services.engine,Trade journal file: logs/trades.jsonl,"2026-03-18 09:17:42,764 | INFO | sensex_noise.services.engine | Trade journal file: logs/trades.jsonl"
1,"2026-03-18 09:17:42,765",INFO,sensex_noise.services.engine,Runtime control file: runtime/control.json,"2026-03-18 09:17:42,765 | INFO | sensex_noise.services.engine | Runtime control file: runtime/control.json"
1,"2026-03-18 09:17:42,765",INFO,sensex_noise.services.engine,Engine started | mode=paper | sizing=capital_based |,"2026-03-18 09:17:42,765 | INFO | sensex_noise.services.engine | Engine started | mode=paper | sizing=capital_based |"
1,,,,,capital=580000.00 | trade_qty=500 | use_kite_funds=False
1,"2026-03-18 09:17:42,903",INFO,sensex_noise.services.engine,Kite authentication check passed,"2026-03-18 09:17:42,903 | INFO | sensex_noise.services.engine | Kite authentication check passed"
1,"2026-03-18 09:20:04,992",INFO,sensex_noise.services.sizing,Sizing debug | available_funds=580000.00 |,"2026-03-18 09:20:04,992 | INFO | sensex_noise.services.sizing | Sizing debug | available_funds=580000.00 |"
1,,,,,capital_budget=580000.00 | usable_capital=580000.00
1,"2026-03-18 09:20:04,993",INFO,sensex_noise.services.sizing,Sizing debug | option_ltp=530.55 | lot_size=20,"2026-03-18 09:20:04,993 | INFO | sensex_noise.services.sizing | Sizing debug | option_ltp=530.55 | lot_size=20"
1,"2026-03-18 09:20:04,993",INFO,sensex_noise.services.sizing,Sizing debug | cost_per_lot=10611.00 | lots=54 |,"2026-03-18 09:20:04,993 | INFO | sensex_noise.services.sizing | Sizing debug | cost_per_lot=10611.00 | lots=54 |"
1,,,,,quantity=1080
1,"2026-03-18 09:20:05,041",INFO,sensex_noise.broker.kite_paper,PAPER ENTRY MARKET |,"2026-03-18 09:20:05,041 | INFO | sensex_noise.broker.kite_paper | PAPER ENTRY MARKET |"
1,,,,,BFO:SENSEX2631976300CE | product=NRML | qty=1080 | price=530.55 | order_id=PAPER-ENTRY-1
1,"2026-03-18 09:20:05,041",INFO,sensex_noise.broker.kite_paper,PAPER EXIT LIMIT | BFO:SENSEX2631976300CE |,"2026-03-18 09:20:05,041 | INFO | sensex_noise.broker.kite_paper | PAPER EXIT LIMIT | BFO:SENSEX2631976300CE |"
1,,,,,product=NRML | qty=1080 | price=533.55 | order_id=PAPER-EXIT-2
1,"2026-03-18 09:20:05,042",INFO,sensex_noise.services.engine,TARGET LIMIT PLACED | BFO:SENSEX2631976300CE,"2026-03-18 09:20:05,042 | INFO | sensex_noise.services.engine | TARGET LIMIT PLACED | BFO:SENSEX2631976300CE"
1,,,,,@ 533.55
