date,offset_points,target_points,trades_taken,trades_dropped_by_offset_proxy,target_hit_count_under_model,net_pnl_model,delta_vs_actual,baseline_actual_net
2026-03-24,1,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,2,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,3,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,4,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,5,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,1,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,2,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,3,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,4,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,5,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,1,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,2,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,3,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,4,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,5,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,6,6.0,37,20,26,63650.0,85450.0,-21800.0
2026-03-24,6,5.0,37,20,30,59500.0,81300.0,-21800.0
2026-03-24,7,6.0,25,32,20,58625.0,80425.0,-21800.0
2026-03-24,7,5.0,25,32,23,55975.0,77775.0,-21800.0
2026-03-24,1,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,2,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,3,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,4,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,5,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,1,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,2,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,3,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,4,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,5,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,6,4.0,37,20,32,45500.0,67300.0,-21800.0
2026-03-24,7,4.0,25,32,23,44475.0,66275.0,-21800.0
2026-03-24,7,3.0,25,32,25,37500.0,59300.0,-21800.0
2026-03-24,8,6.0,16,41,12,37475.0,59275.0,-21800.0
2026-03-24,9,6.0,15,42,12,36475.0,58275.0,-21800.0
2026-03-24,6,2.0,37,20,36,35375.0,57175.0,-21800.0
2026-03-24,6,3.0,37,20,34,34025.0,55825.0,-21800.0
2026-03-24,8,5.0,16,41,14,33475.0,55275.0,-21800.0
2026-03-24,9,5.0,15,42,14,32475.0,54275.0,-21800.0
2026-03-24,8,4.0,16,41,14,26475.0,48275.0,-21800.0
2026-03-24,9,4.0,15,42,14,25475.0,47275.0,-21800.0
2026-03-24,7,2.0,25,32,25,25000.0,46800.0,-21800.0
2026-03-24,8,3.0,16,41,16,24000.0,45800.0,-21800.0
2026-03-24,9,3.0,15,42,15,22500.0,44300.0,-21800.0
2026-03-24,1,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,2,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,3,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,4,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,5,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,10,6.0,8,49,6,21000.0,42800.0,-21800.0
2026-03-24,10,5.0,8,49,8,20000.0,41800.0,-21800.0
2026-03-24,6,1.0,37,20,36,17375.0,39175.0,-21800.0
2026-03-24,8,2.0,16,41,16,16000.0,37800.0,-21800.0
2026-03-24,10,4.0,8,49,8,16000.0,37800.0,-21800.0
2026-03-24,9,2.0,15,42,15,15000.0,36800.0,-21800.0
2026-03-24,7,1.0,25,32,25,12500.0,34300.0,-21800.0
2026-03-24,10,3.0,8,49,8,12000.0,33800.0,-21800.0
2026-03-24,8,1.0,16,41,16,8000.0,29800.0,-21800.0
2026-03-24,10,2.0,8,49,8,8000.0,29800.0,-21800.0
2026-03-24,9,1.0,15,42,15,7500.0,29300.0,-21800.0
2026-03-24,10,1.0,8,49,8,4000.0,25800.0,-21800.0
