date,scenario,offset_points,target_points,trades_taken,trades_dropped_by_offset_proxy,target_hit_count_under_model,net_pnl_model,delta_vs_actual,baseline_actual_net
2026-03-24,conservative_open_only,10,6.0,8,49,3,15500.0,37300.0,-21800.0
2026-03-24,conservative_open_only,10,4.0,8,49,7,15000.0,36800.0,-21800.0
2026-03-24,conservative_open_only,10,5.0,8,49,4,15000.0,36800.0,-21800.0
2026-03-24,conservative_open_only,10,3.0,8,49,8,12000.0,33800.0,-21800.0
2026-03-24,conservative_open_only,7,6.0,25,32,8,11925.0,33725.0,-21800.0
2026-03-24,conservative_open_only,7,5.0,25,32,9,8925.0,30725.0,-21800.0
2026-03-24,conservative_open_only,8,6.0,16,41,5,8900.0,30700.0,-21800.0
2026-03-24,conservative_open_only,10,2.0,8,49,8,8000.0,29800.0,-21800.0
2026-03-24,conservative_open_only,9,6.0,15,42,5,7900.0,29700.0,-21800.0
2026-03-24,conservative_open_only,8,5.0,16,41,6,7400.0,29200.0,-21800.0
2026-03-24,conservative_open_only,7,4.0,25,32,13,6925.0,28725.0,-21800.0
2026-03-24,conservative_open_only,8,4.0,16,41,9,6400.0,28200.0,-21800.0
2026-03-24,conservative_open_only,9,5.0,15,42,6,6400.0,28200.0,-21800.0
2026-03-24,conservative_open_only,9,4.0,15,42,9,5400.0,27200.0,-21800.0
2026-03-24,conservative_open_only,10,1.0,8,49,8,4000.0,25800.0,-21800.0
2026-03-24,conservative_open_only,8,3.0,16,41,11,2400.0,24200.0,-21800.0
2026-03-24,conservative_open_only,9,3.0,15,42,11,1400.0,23200.0,-21800.0
2026-03-24,conservative_open_only,7,3.0,25,32,18,925.0,22725.0,-21800.0
2026-03-24,conservative_open_only,1,6.0,57,0,12,-2800.0,19000.0,-21800.0
2026-03-24,conservative_open_only,2,6.0,57,0,12,-2800.0,19000.0,-21800.0
2026-03-24,conservative_open_only,3,6.0,57,0,12,-2800.0,19000.0,-21800.0
2026-03-24,conservative_open_only,4,6.0,57,0,12,-2800.0,19000.0,-21800.0
2026-03-24,conservative_open_only,5,6.0,57,0,12,-2800.0,19000.0,-21800.0
2026-03-24,conservative_open_only,8,2.0,16,41,12,-3100.0,18700.0,-21800.0
2026-03-24,conservative_open_only,9,2.0,15,42,11,-4100.0,17700.0,-21800.0
2026-03-24,conservative_open_only,1,4.0,57,0,29,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,1,5.0,57,0,16,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,2,4.0,57,0,29,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,2,5.0,57,0,16,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,3,4.0,57,0,29,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,3,5.0,57,0,16,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,4,4.0,57,0,29,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,4,5.0,57,0,16,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,5,4.0,57,0,29,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,5,5.0,57,0,16,-4300.0,17500.0,-21800.0
2026-03-24,conservative_open_only,6,6.0,37,20,11,-6700.0,15100.0,-21800.0
2026-03-24,conservative_open_only,7,2.0,25,32,19,-8075.0,13725.0,-21800.0
2026-03-24,conservative_open_only,8,1.0,16,41,12,-9100.0,12700.0,-21800.0
2026-03-24,conservative_open_only,9,1.0,15,42,11,-9600.0,12200.0,-21800.0
2026-03-24,conservative_open_only,6,5.0,37,20,13,-9700.0,12100.0,-21800.0
2026-03-24,conservative_open_only,6,4.0,37,20,19,-12700.0,9100.0,-21800.0
2026-03-24,conservative_open_only,1,3.0,57,0,38,-17300.0,4500.0,-21800.0
2026-03-24,conservative_open_only,2,3.0,57,0,38,-17300.0,4500.0,-21800.0
2026-03-24,conservative_open_only,3,3.0,57,0,38,-17300.0,4500.0,-21800.0
2026-03-24,conservative_open_only,4,3.0,57,0,38,-17300.0,4500.0,-21800.0
2026-03-24,conservative_open_only,5,3.0,57,0,38,-17300.0,4500.0,-21800.0
2026-03-24,conservative_open_only,7,1.0,25,32,19,-17575.0,4225.0,-21800.0
2026-03-24,conservative_open_only,6,2.0,37,20,27,-21200.0,600.0,-21800.0
2026-03-24,conservative_open_only,6,3.0,37,20,25,-21700.0,100.0,-21800.0
2026-03-24,conservative_open_only,1,2.0,57,0,41,-23300.0,-1500.0,-21800.0
2026-03-24,conservative_open_only,2,2.0,57,0,41,-23300.0,-1500.0,-21800.0
2026-03-24,conservative_open_only,3,2.0,57,0,41,-23300.0,-1500.0,-21800.0
2026-03-24,conservative_open_only,4,2.0,57,0,41,-23300.0,-1500.0,-21800.0
2026-03-24,conservative_open_only,5,2.0,57,0,41,-23300.0,-1500.0,-21800.0
2026-03-24,conservative_open_only,6,1.0,37,20,27,-34700.0,-12900.0,-21800.0
