trade_id,entry_time,exit_time,signal_kind,exit_reason,exit_group,net_pnl,entry_price,exit_price,target_points_used,implied_target_price,holding_seconds,path_len,post_exit_best_recovery,post_exit_worst_drawdown,post_exit_final_delta_15s,post_exit_recovered_above_exit,would_hit_implied_target_within_15s,target_hit_second_after_exit,post_exit_best_ltp,post_exit_worst_ltp,delta_seq_1_15
20260323T092500|BFO:SENSEX26MAR73400PE|CONTINUATION_PUT|PUT,2026-03-23T09:25:00.958541,2026-03-23T09:25:04.253297,CONTINUATION_PUT,TARGET_HIT,TARGET_HIT,1500.0,982.25,985.25,3.0,985.25,3.294756,15,-1.5499999999999545,-22.25,-11.850000000000023,False,False,,983.7,963.0,1:-5.9 2:-6.45 3:-9.1 4:-1.55 5:-8.35 6:-4.7 7:-8.3 8:-12.55 9:-14.9 10:-12.2 11:-12.2 12:-19.55 13:-22.25 14:-21.65 15:-11.85
20260323T093001|BFO:SENSEX26MAR73000CE|CONTINUATION_CALL|CALL,2026-03-23T09:30:01.204575,2026-03-23T09:30:12.385176,CONTINUATION_CALL,TARGET_HIT,TARGET_HIT,1000.0,1013.1,1015.1,2.0,1015.1,11.180601,15,20.050000000000068,3.5,7.600000000000023,True,True,1,1035.15,1018.6,1:5.85 2:3.5 3:10.4 4:9.6 5:8.8 6:12.35 7:12.1 8:11.35 9:20.05 10:18.5 11:18.5 12:19.25 13:8.5 14:8.4 15:7.6
20260323T093522|BFO:SENSEX26MAR73100CE|CONTINUATION_CALL|CALL,2026-03-23T09:35:23.166949,2026-03-23T09:35:24.255468,CONTINUATION_CALL,TARGET_HIT,TARGET_HIT,1500.0,987.3,990.3,3.0,990.3,1.088519,15,19.700000000000045,3.7000000000000455,16.25,True,True,1,1010.0,994.0,1:9.7 2:9.55 3:7.15 4:3.7 5:5.4 6:15.55 7:17.25 8:17.25 9:17.25 10:19.7 11:18.75 12:18.75 13:17.9 14:13.3 15:16.25
20260323T094025|BFO:SENSEX26MAR73500PE|REVERSAL_PUT|PUT,2026-03-23T09:40:25.810571,2026-03-23T09:40:26.903129,REVERSAL_PUT,TARGET_HIT,TARGET_HIT,1500.0,1010.4,1013.4,3.0,1013.4,1.092558,15,8.600000000000023,-3.25,8.600000000000023,True,True,1,1022.0,1010.15,1:0.55 2:-2.55 3:-3.25 4:3.05 5:1.4 6:4.6 7:5.75 8:7.1 9:7.2 10:6.6 11:3.2 12:3.2 13:5.9 14:4.35 15:8.6
20260323T094503|BFO:SENSEX26MAR73400PE|CONTINUATION_PUT|PUT,2026-03-23T09:45:03.737347,2026-03-23T09:45:04.835998,CONTINUATION_PUT,TARGET_HIT,TARGET_HIT,1500.0,971.3,974.3,3.0,974.3,1.098651,15,7.900000000000091,0.8000000000000682,4.25,True,True,1,982.2,975.1,1:5.15 2:3.6 3:0.8 4:6.55 5:7.9 6:7.9 7:7.9 8:7.25 9:5.65 10:7.9 11:7.9 12:6.1 13:1.2 14:1.2 15:4.25
20260323T095005|BFO:SENSEX26MAR73300PE|CONTINUATION_PUT|PUT,2026-03-23T09:50:05.868612,2026-03-23T09:50:08.166636,CONTINUATION_PUT,TARGET_HIT,TARGET_HIT,1500.0,994.1,997.1,3.0,997.1,2.298024,15,-1.4500000000000455,-11.550000000000068,-1.4500000000000455,False,False,,995.65,985.55,1:-4.55 2:-11.55 3:-7.45 4:-4.65 5:-6.65 6:-1.75 7:-2.55 8:-2.9 9:-2.85 10:-4.2 11:-4.65 12:-4.65 13:-4.65 14:-2.2 15:-1.45
20260323T095503|BFO:SENSEX26MAR73200PE|CONTINUATION_PUT|PUT,2026-03-23T09:55:03.344710,2026-03-23T09:55:11.271887,CONTINUATION_PUT,HARD_STOP_EXIT,STOP_EXIT,-5500.000000000056,1024.15,1013.15,2.0,1026.15,7.927177,15,10.600000000000023,-1.2999999999999545,5.550000000000068,True,False,,1023.75,1011.85,1:0.25 2:-1.3 3:3.2 4:3.05 5:6.85 6:7.95 7:10.6 8:9.0 9:9.0 10:7.9 11:6.1 12:8.05 13:9.7 14:4.3 15:5.55
20260323T100001|BFO:SENSEX26MAR73100PE|CONTINUATION_PUT|PUT,2026-03-23T10:00:01.824916,2026-03-23T10:00:04.013854,CONTINUATION_PUT,TARGET_HIT,TARGET_HIT,1500.0,1018.05,1021.05,3.0,1021.05,2.188938,15,27.850000000000136,0.75,26.200000000000045,True,True,1,1048.9,1021.8,1:4.75 2:0.75 3:8.2 4:12.15 5:16.25 6:15.8 7:13.95 8:9.85 9:11.0 10:15.25 11:22.5 12:22.5 13:27.85 14:27.85 15:26.2
20260323T100508|BFO:SENSEX26MAR72800CE|CONTINUATION_CALL|CALL,2026-03-23T10:05:08.472916,2026-03-23T10:05:12.856043,CONTINUATION_CALL,TARGET_HIT,TARGET_HIT,1500.0,1024.35,1027.35,3.0,1027.35,4.383127,15,3.25,-3.0499999999999545,1.800000000000182,True,True,2,1030.6,1024.3,1:-3.05 2:0.1 3:1.0 4:1.6 5:1.6 6:1.65 7:1.55 8:1.55 9:1.55 10:-1.05 11:-1.05 12:1.65 13:2.65 14:3.25 15:1.8
20260323T101001|BFO:SENSEX26MAR72800CE|CONTINUATION_CALL|CALL,2026-03-23T10:10:01.667129,2026-03-23T10:10:02.795892,CONTINUATION_CALL,TARGET_HIT,TARGET_HIT,1500.0,1022.0,1025.0,3.0,1025.0,1.128763,15,-0.5,-12.799999999999955,-12.700000000000045,False,False,,1024.5,1012.2,1:-1.65 2:-1.65 3:-0.5 4:-0.5 5:-9.0 6:-9.9 7:-9.55 8:-12.8 9:-12.8 10:-12.8 11:-12.8 12:-12.8 13:-12.7 14:-12.7 15:-12.7
