metric,value
total_trade_ids_seen,557
reconciled_closed_trades,557
with_events_match,557
with_trade_tick_match,292
with_underlying_match,292
date_2026-03-23,"{""trades"": 55, ""reconciled"": 55, ""matched_trade_ticks_ratio"": 0.0, ""matched_underlying_ratio"": 0.0}"
date_2026-03-24,"{""trades"": 57, ""reconciled"": 57, ""matched_trade_ticks_ratio"": 0.0, ""matched_underlying_ratio"": 0.0}"
date_2026-03-25,"{""trades"": 51, ""reconciled"": 51, ""matched_trade_ticks_ratio"": 0.0, ""matched_underlying_ratio"": 0.0}"
date_2026-03-27,"{""trades"": 48, ""reconciled"": 48, ""matched_trade_ticks_ratio"": 0.0, ""matched_underlying_ratio"": 0.0}"
date_2026-03-30,"{""trades"": 54, ""reconciled"": 54, ""matched_trade_ticks_ratio"": 0.0, ""matched_underlying_ratio"": 0.0}"
date_2026-04-01,"{""trades"": 57, ""reconciled"": 57, ""matched_trade_ticks_ratio"": 1.0, ""matched_underlying_ratio"": 1.0}"
date_2026-04-02,"{""trades"": 57, ""reconciled"": 57, ""matched_trade_ticks_ratio"": 1.0, ""matched_underlying_ratio"": 1.0}"
date_2026-04-06,"{""trades"": 53, ""reconciled"": 53, ""matched_trade_ticks_ratio"": 1.0, ""matched_underlying_ratio"": 1.0}"
date_2026-04-07,"{""trades"": 18, ""reconciled"": 18, ""matched_trade_ticks_ratio"": 1.0, ""matched_underlying_ratio"": 1.0}"
date_2026-04-08,"{""trades"": 35, ""reconciled"": 35, ""matched_trade_ticks_ratio"": 1.0, ""matched_underlying_ratio"": 1.0}"
date_2026-04-09,"{""trades"": 25, ""reconciled"": 25, ""matched_trade_ticks_ratio"": 1.0, ""matched_underlying_ratio"": 1.0}"
date_2026-04-10,"{""trades"": 47, ""reconciled"": 47, ""matched_trade_ticks_ratio"": 1.0, ""matched_underlying_ratio"": 1.0}"
