metric,winners,losers,delta_w_minus_l
winner_count,215.0,77.0,138.0
time_to_first_favorable_median,0.0,3.0,-3.0
time_to_first_adverse_median,1.0,0.0,1.0
adverse_before_favorable_rate,0.2372093023255814,0.8051948051948052,-0.5679855028692238
pnl_0p5s_mean,2.065053763440859,-1.0907407407407423,3.155794504181601
runup_0p5s_mean,2.1413978494623627,-1.0907407407407423,3.232138590203105
drawdown_0p5s_mean,1.9672043010752671,-1.0907407407407423,3.0579450418160095
underlying_move_0p5s_mean,-0.11473118279583662,-0.3314814814813737,0.21675029868553708
futures_move_0p5s_mean,1.6759999999997672,-0.05,1.7259999999997673
tick_velocity_0p5s_mean,4.130107526881718,-2.1814814814814847,6.311589008363202
spread_0p5s_mean,1.4489247311827969,1.4203703703703607,0.02855436081243612
positive_pnl_rate_0p5s,0.3395348837209302,0.1038961038961039,0.2356387798248263
pnl_1s_mean,2.1107558139534883,-2.147457627118641,4.2582134410721295
runup_1s_mean,2.188662790697674,-2.0923728813559292,4.281035672053603
drawdown_1s_mean,2.0305232558139528,-2.159322033898301,4.189845289712254
underlying_move_1s_mean,-0.25203488372079486,-0.35000000000088793,0.09796511628009308
futures_move_1s_mean,1.1019607843130979,-0.025,1.1269607843130978
tick_velocity_1s_mean,2.1107558139534883,-2.147457627118641,4.2582134410721295
spread_1s_mean,1.3904069767441847,1.4050847457627116,-0.01467776901852691
positive_pnl_rate_1s,0.586046511627907,0.15584415584415584,0.43020235578375116
pnl_2s_mean,2.429024390243906,-2.5680555555555475,4.997079945799454
runup_2s_mean,3.1563414634146367,-1.8395833333333285,4.995924796747965
drawdown_2s_mean,1.3880487804878063,-3.166666666666658,4.554715447154464
underlying_move_2s_mean,0.2406341463420398,-0.8319444444445657,1.0725785907866054
futures_move_2s_mean,2.858461538461359,-0.016666666666666666,2.875128205128026
tick_velocity_2s_mean,1.214512195121953,-1.2840277777777738,2.498539972899727
spread_2s_mean,1.5136585365853659,1.4708333333333248,0.04282520325204109
positive_pnl_rate_2s,0.6976744186046512,0.14285714285714285,0.5548172757475083
pnl_3s_mean,2.6537735849056654,-3.283783783783779,5.937557368689444
runup_3s_mean,3.9344339622641535,-1.5466216216216184,5.481055583885772
drawdown_3s_mean,0.8283018867924523,-4.080405405405398,4.9087072921978505
underlying_move_3s_mean,0.7871698113208453,-0.6529729729730673,1.4401427842939127
futures_move_3s_mean,2.995774647887078,-0.013888888888888888,3.009663536775967
tick_velocity_3s_mean,0.8845911949685549,-1.094594594594593,1.979185789563148
spread_3s_mean,1.5389150943396206,1.4932432432432352,0.045671851096385385
positive_pnl_rate_3s,0.7348837209302326,0.11688311688311688,0.6180006040471157
pnl_5s_mean,3.435915492957747,-3.7577922077921992,7.193707700749947
runup_5s_mean,5.488732394366201,-1.1253246753246684,6.614057069690869
drawdown_5s_mean,0.013615023474176296,-5.255194805194802,5.268809828668978
underlying_move_5s_mean,0.5283098591547875,-0.9519480519482787,1.4802579111030663
futures_move_5s_mean,2.734523809523775,-2.284090909090909,5.018614718614684
tick_velocity_5s_mean,0.6871830985915495,-0.7515584415584398,1.4387415401499892
spread_5s_mean,1.4819248826291065,1.5902597402597412,-0.10833485763063466
positive_pnl_rate_5s,0.7209302325581395,0.14285714285714285,0.5780730897009967
fast_winner_share,0.8232558139534883,,
slow_winner_share,0.17209302325581396,,
slow_winner_avg_pnl,1324.3243243243244,,
