variant_name,cost_points,adjusted_pnl,adjusted_avg_pnl,adjusted_profit_factor,days_positive,worst_day_pnl
ATM_ACCEL_0S_H10_CD30,0.0,2599.9999999999536,81.24999999999855,1.19082568807339,1,-1925.0000000000114
ATM_ACCEL_0S_H10_CD30,0.25,-1400.000000000046,-43.750000000001435,0.9138461538461511,1,-2175.0000000000114
ATM_ACCEL_0S_H10_CD30,0.5,-5400.000000000045,-168.7500000000014,0.7139072847682103,0,-2425.0000000000114
ATM_ACCEL_0S_H10_CD30,0.75,-9400.000000000044,-293.75000000000136,0.5643105446118181,0,-5399.999999999989
ATM_ACCEL_0S_H10_CD30,1.0,-13400.000000000044,-418.75000000000136,0.4508196721311468,0,-8899.999999999989
ATM_ACCEL_0S_H10_CD30__ACTIVE_WINDOW,0.0,2124.9999999999827,81.73076923076857,1.1774530271398729,1,-1925.0000000000114
ATM_ACCEL_0S_H10_CD30__ACTIVE_WINDOW,0.25,-1125.0000000000173,-43.269230769231434,0.9202127659574459,1,-2175.0000000000114
ATM_ACCEL_0S_H10_CD30__ACTIVE_WINDOW,0.5,-4375.000000000017,-168.26923076923143,0.7303543913713401,0,-2425.0000000000114
ATM_ACCEL_0S_H10_CD30__ACTIVE_WINDOW,0.75,-7625.000000000016,-293.2692307692314,0.5844686648501362,0,-4099.999999999982
ATM_ACCEL_0S_H10_CD30__ACTIVE_WINDOW,1.0,-10875.000000000016,-418.2692307692314,0.47080291970802923,0,-6974.999999999982
ATM_ACCEL_0S_H10_CD30__AVOID_OPEN,0.0,774.9999999999661,24.999999999998906,1.0568807339449513,1,-1925.0000000000114
ATM_ACCEL_0S_H10_CD30__AVOID_OPEN,0.25,-3100.000000000033,-100.00000000000107,0.8092307692307676,0,-2175.0000000000114
ATM_ACCEL_0S_H10_CD30__AVOID_OPEN,0.5,-6975.000000000034,-225.00000000000108,0.6304635761589397,0,-3474.9999999999777
ATM_ACCEL_0S_H10_CD30__AVOID_OPEN,0.75,-10850.000000000035,-350.00000000000114,0.4971031286210888,0,-6849.999999999977
ATM_ACCEL_0S_H10_CD30__AVOID_OPEN,1.0,-14725.000000000035,-475.00000000000114,0.3965163934426228,0,-10224.999999999976
ATM_ACCEL_0S_H10_CD30__CHOPPY_ACTIVE,0.0,-1650.0000000000327,-165.00000000000327,0.7401574803149565,1,-1925.0000000000114
ATM_ACCEL_0S_H10_CD30__CHOPPY_ACTIVE,0.25,-2900.000000000033,-290.0000000000033,0.5986159169550143,0,-2175.0000000000114
ATM_ACCEL_0S_H10_CD30__CHOPPY_ACTIVE,0.5,-4150.000000000034,-415.00000000000335,0.487654320987652,0,-2425.0000000000114
ATM_ACCEL_0S_H10_CD30__CHOPPY_ACTIVE,0.75,-5400.000000000034,-540.0000000000034,0.3983286908077977,0,-2675.0000000000114
ATM_ACCEL_0S_H10_CD30__CHOPPY_ACTIVE,1.0,-6650.000000000034,-665.0000000000034,0.32487309644669915,0,-3124.9999999999986
ATM_ACCEL_0S_H10_CD30__HIGH_VOL_ONLY,0.0,2599.9999999999536,81.24999999999855,1.19082568807339,1,-1925.0000000000114
ATM_ACCEL_0S_H10_CD30__HIGH_VOL_ONLY,0.25,-1400.000000000046,-43.750000000001435,0.9138461538461511,1,-2175.0000000000114
ATM_ACCEL_0S_H10_CD30__HIGH_VOL_ONLY,0.5,-5400.000000000045,-168.7500000000014,0.7139072847682103,0,-2425.0000000000114
ATM_ACCEL_0S_H10_CD30__HIGH_VOL_ONLY,0.75,-9400.000000000044,-293.75000000000136,0.5643105446118181,0,-5399.999999999989
ATM_ACCEL_0S_H10_CD30__HIGH_VOL_ONLY,1.0,-13400.000000000044,-418.75000000000136,0.4508196721311468,0,-8899.999999999989
ATM_ACCEL_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,0.0,3074.999999999977,99.19354838709603,1.233840304182507,1,-1925.0000000000114
ATM_ACCEL_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,0.25,-800.000000000023,-25.806451612903967,0.9488817891373788,1,-2175.0000000000114
ATM_ACCEL_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,0.5,-4675.000000000023,-150.80645161290397,0.7424242424242415,0,-2425.0000000000114
ATM_ACCEL_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,0.75,-8550.000000000024,-275.80645161290397,0.5874547647768388,0,-5399.999999999989
ATM_ACCEL_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,1.0,-12425.000000000024,-400.80645161290397,0.46958377801494094,0,-8899.999999999989
ATM_ACCEL_0S_H10_CD30__MIDDAY_ONLY,0.0,500.000000000014,41.66666666666783,1.0668896321070254,1,-2750.0
ATM_ACCEL_0S_H10_CD30__MIDDAY_ONLY,0.25,-999.9999999999861,-83.33333333333218,0.8820058997050165,1,-2875.0
ATM_ACCEL_0S_H10_CD30__MIDDAY_ONLY,0.5,-2499.999999999986,-208.33333333333215,0.7361477572559383,1,-3000.0
ATM_ACCEL_0S_H10_CD30__MIDDAY_ONLY,0.75,-3999.999999999986,-333.3333333333322,0.6181384248210039,0,-3125.0
ATM_ACCEL_0S_H10_CD30__MIDDAY_ONLY,1.0,-5499.999999999985,-458.3333333333321,0.5206971677559926,0,-3250.0
ATM_ACCEL_0S_H10_CD30__NO_MORNING_WEAK,0.0,1899.999999999965,65.51724137930914,1.1519999999999966,1,-1925.0000000000114
ATM_ACCEL_0S_H10_CD30__NO_MORNING_WEAK,0.25,-1725.0000000000346,-59.482758620690845,0.8840336134453761,1,-2175.0000000000114
ATM_ACCEL_0S_H10_CD30__NO_MORNING_WEAK,0.5,-5350.000000000034,-184.48275862069082,0.689855072463767,0,-2425.0000000000114
ATM_ACCEL_0S_H10_CD30__NO_MORNING_WEAK,0.75,-8975.000000000036,-309.4827586206909,0.5444162436548218,0,-4974.999999999977
ATM_ACCEL_0S_H10_CD30__NO_MORNING_WEAK,1.0,-12600.000000000036,-434.4827586206909,0.4343434343434341,0,-8099.999999999977
ATM_ACCEL_0S_H10_CD30__TRENDING_ACTIVE,0.0,4725.00000000001,225.00000000000048,1.6948529411764715,1,4725.000000000009
ATM_ACCEL_0S_H10_CD30__TRENDING_ACTIVE,0.25,2100.00000000001,100.00000000000048,1.2492581602373898,1,2100.0000000000095
ATM_ACCEL_0S_H10_CD30__TRENDING_ACTIVE,0.5,-524.9999999999898,-24.999999999999513,0.9477611940298518,0,-524.9999999999902
ATM_ACCEL_0S_H10_CD30__TRENDING_ACTIVE,0.75,-3149.9999999999895,-149.9999999999995,0.731914893617022,0,-3149.99999999999
ATM_ACCEL_0S_H10_CD30__TRENDING_ACTIVE,1.0,-5774.999999999991,-274.99999999999955,0.5745856353591167,0,-5774.99999999999
ATM_U1S10_0S_H10_CD30,0.0,20024.999999999996,426.06382978723394,2.3003246753246738,3,-100.00000000002274
ATM_U1S10_0S_H10_CD30,0.25,14149.999999999998,301.063829787234,1.7536617842876154,3,-225.00000000002274
ATM_U1S10_0S_H10_CD30,0.5,8275.0,176.06382978723406,1.3735891647855527,2,-375.0
ATM_U1S10_0S_H10_CD30,0.75,2399.9999999999986,51.06382978723401,1.0932038834951454,2,-875.0
