variant_name,total_trades,active_days,total_net_pnl,worst_day_pnl,best_day_pnl,profit_factor,win_rate,avg_pnl_per_trade,max_drawdown_sum,target_hit_rate,avg_mfe,avg_mae,beats_random_controls,live_candidate_flag,pnl_after_0_5_cost
ATM_U1S10_0S_H5_CD30__NO_MORNING_WEAK,44,4,25599.99999999998,-100.00000000002274,23250.00000000002,3.449760765550232,0.4772727272727273,581.8181818181814,-3850.000000000002,0.2727272727272727,1.7954545454545465,-0.48750000000000143,,False,14599.999999999987
ATM_U1S10_0S_H5_CD30__AVOID_OPEN,46,4,24899.999999999993,-100.00000000002274,22550.00000000003,3.2331838565022384,0.45652173913043476,541.3043478260868,-3850.000000000002,0.2608695652173913,1.7315217391304356,-0.4967391304347835,,False,13399.999999999998
ATM_U1S10_0S_H5_CD30__ACTIVE_WINDOW,37,3,24874.999999999993,-175.00000000001137,23225.000000000015,3.538265306122447,0.4864864864864865,672.2972972972971,-3850.000000000002,0.32432432432432434,2.032432432432432,-0.544594594594595,,False,15624.999999999993
ATM_U1S10_0S_H5_CD30,47,4,24374.99999999999,-100.00000000002274,22025.000000000025,3.087794432548175,0.44680851063829785,518.6170212765956,-3850.000000000002,0.2553191489361702,1.6946808510638305,-0.5085106382978734,,False,12624.999999999993
ATM_U1S10_0S_H5_CD30__IMPULSE_DENSITY_ACTIVE,47,4,24374.99999999999,-100.00000000002274,22025.000000000025,3.087794432548175,0.44680851063829785,518.6170212765956,-3850.000000000002,0.2553191489361702,1.6946808510638305,-0.5085106382978734,,False,12624.999999999993
ATM_U1S10_0S_H10_CD30__NO_MORNING_WEAK,44,4,21249.99999999999,-100.00000000002274,18900.000000000025,2.4991181657848296,0.45454545454545453,482.9545454545452,-4825.000000000003,0.2727272727272727,1.7954545454545465,-0.6443181818181827,,False,10249.999999999993
ATM_U1S10_0S_H5_CD30__HIGH_VOL_ONLY,45,4,21099.99999999998,-100.00000000002274,18750.00000000002,2.8072805139186245,0.4222222222222222,468.88888888888846,-3850.000000000002,0.24444444444444444,1.624444444444445,-0.5311111111111123,,False,9849.999999999984
ATM_U1S10_0S_H10_CD30__AVOID_OPEN,46,4,20550.0,-100.00000000002274,18200.000000000036,2.3815126050420163,0.43478260869565216,446.7391304347826,-4825.000000000003,0.2608695652173913,1.7315217391304356,-0.646739130434783,,False,9050.000000000002
ATM_U1S10_0S_H10_CD30__ACTIVE_WINDOW,37,3,20525.0,-175.00000000001137,18875.000000000022,2.517560073937154,0.4594594594594595,554.7297297297297,-4825.000000000003,0.32432432432432434,2.032432432432432,-0.7310810810810809,,False,11275.0
ATM_U1S10_0S_H5_CD30__TRENDING_ACTIVE,26,3,20250.0,-375.0,18800.00000000001,4.951219512195121,0.5,778.8461538461538,-1550.000000000004,0.34615384615384615,2.065384615384616,-0.41538461538461596,,False,13750.000000000002
ATM_U1S10_0S_H10_CD30,47,4,20024.999999999996,-100.00000000002274,17675.000000000033,2.3003246753246738,0.425531914893617,426.06382978723394,-4825.000000000003,0.2553191489361702,1.6946808510638305,-0.6553191489361707,,False,8275.0
ATM_U1S10_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,47,4,20024.999999999996,-100.00000000002274,17675.000000000033,2.3003246753246738,0.425531914893617,426.06382978723394,-4825.000000000003,0.2553191489361702,1.6946808510638305,-0.6553191489361707,,False,8275.0
ATM_U1S10_0S_H5_CD60,39,4,19274.999999999985,-100.00000000002274,16925.000000000015,3.0670241286863216,0.46153846153846156,494.2307692307689,-2899.999999999998,0.28205128205128205,1.656410256410257,-0.49230769230769356,,False,9524.999999999987
ATM_U1S10_0S_H10_CD30__TRENDING_ACTIVE,26,3,17450.000000000004,-375.0,16000.000000000015,3.3904109589041105,0.46153846153846156,671.1538461538463,-2225.000000000002,0.34615384615384615,2.065384615384616,-0.5615384615384615,,False,10950.000000000004
ATM_U1S10_0S_H10_CD30__HIGH_VOL_ONLY,45,4,16749.99999999999,-100.00000000002274,14400.000000000024,2.087662337662336,0.4,372.222222222222,-4875.000000000007,0.24444444444444444,1.624444444444445,-0.6844444444444451,,False,5499.99999999999
ATM_U1S10_0S_H10_CD60,39,4,14924.99999999999,-100.00000000002274,12575.000000000024,2.143678160919538,0.4358974358974359,382.69230769230745,-4825.000000000003,0.28205128205128205,1.656410256410257,-0.6692307692307699,,False,5174.999999999991
ATM_U2S20_0S_H5_CD30,22,4,9950.000000000044,-275.0000000000057,7850.00000000002,3.0729166666666705,0.4090909090909091,452.27272727272924,-2025.0000000000057,0.2727272727272727,1.4772727272727322,-0.4363636363636374,,True,4450.000000000043
ATM_U2S20_0S_H10_CD30,22,4,8400.000000000047,-275.0000000000057,6300.000000000023,2.322834645669297,0.4090909090909091,381.818181818184,-2175.0000000000114,0.2727272727272727,1.4772727272727322,-0.577272727272728,,True,2900.000000000046
ATM_U2S20_0S_H10_CD30__HIGH_VOL_ONLY,22,4,8400.000000000047,-275.0000000000057,6300.000000000023,2.322834645669297,0.4090909090909091,381.818181818184,-2175.0000000000114,0.2727272727272727,1.4772727272727322,-0.577272727272728,,True,2900.000000000046
ATM_U2S20_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,22,4,8400.000000000047,-275.0000000000057,6300.000000000023,2.322834645669297,0.4090909090909091,381.818181818184,-2175.0000000000114,0.2727272727272727,1.4772727272727322,-0.577272727272728,,True,2900.000000000046
ATM_U1S10_0S_H10_CD30__MIDDAY_ONLY,18,3,7699.9999999999945,-375.0,6250.000000000007,2.0807017543859656,0.3888888888888889,427.7777777777775,-2850.000000000002,0.3333333333333333,1.7638888888888882,-0.7916666666666659,,False,3199.999999999996
ATM_U1S10_0S_H5_CD30__MIDDAY_ONLY,18,3,7699.9999999999945,-375.0,6250.000000000007,2.0807017543859656,0.3888888888888889,427.7777777777775,-2850.000000000002,0.3333333333333333,1.7638888888888882,-0.7916666666666659,,False,3199.999999999996
ATM_U2S20_0S_H10_CD30__ACTIVE_WINDOW,17,2,7600.00000000002,400.0000000000057,7200.000000000015,2.497536945812815,0.47058823529411764,447.05882352941296,-2074.9999999999886,0.29411764705882354,1.6676470588235304,-0.5970588235294104,,False,3350.0000000000196
ATM_U2S20_0S_H10_CD30__NO_MORNING_WEAK,20,4,7224.999999999992,-275.0000000000057,7200.000000000015,2.3256880733944896,0.4,361.2499999999996,-2074.9999999999886,0.25,1.4175000000000009,-0.5450000000000017,,False,2224.9999999999914
ATM_U2S20_0S_H10_CD30__AVOID_OPEN,21,4,6325.0,-275.0000000000057,6300.000000000023,1.996062992125983,0.38095238095238093,301.1904761904762,-2074.9999999999886,0.23809523809523808,1.3500000000000008,-0.6047619047619056,,False,1075.0000000000005
ATM_U2S20_0S_H10_CD30__MIDDAY_ONLY,6,1,6275.0000000000055,6275.0000000000055,6275.0000000000055,5.183333333333337,0.5,1045.8333333333342,-1225.0000000000014,0.5,2.683333333333335,-0.5,,False,4775.0000000000055
ATM_U3S30_0S_H10_CD30,6,1,6249.999999999988,6249.999999999988,6249.999999999988,4.472222222222214,0.6666666666666666,1041.6666666666647,-1800.000000000001,0.6666666666666666,2.68333333333333,-0.6000000000000002,,False,4749.999999999988
ATM_U3S30_0S_H10_CD30__HIGH_VOL_ONLY,6,1,6249.999999999988,6249.999999999988,6249.999999999988,4.472222222222214,0.6666666666666666,1041.6666666666647,-1800.000000000001,0.6666666666666666,2.68333333333333,-0.6000000000000002,,False,4749.999999999988
ATM_U3S30_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,6,1,6249.999999999988,6249.999999999988,6249.999999999988,4.472222222222214,0.6666666666666666,1041.6666666666647,-1800.000000000001,0.6666666666666666,2.68333333333333,-0.6000000000000002,,False,4749.999999999988
ATM_U2S20_0S_H10_CD30__TRENDING_ACTIVE,13,4,4725.000000000076,-424.99999999998295,3350.0000000000196,2.5241935483871316,0.38461538461538464,363.46153846154436,-1500.0,0.3076923076923077,1.219230769230778,-0.47692307692307384,,True,1475.000000000076
ATM_ACCEL_0S_H10_CD30__TRENDING_ACTIVE,21,1,4725.00000000001,4725.00000000001,4725.00000000001,1.6948529411764715,0.38095238095238093,225.00000000000048,-4125.000000000003,0.2857142857142857,1.1333333333333346,-0.6476190476190479,,False,-524.9999999999898
ATM_U3S30_0S_H10_CD30__ACTIVE_WINDOW,5,1,4425.000000000001,4425.000000000001,4425.000000000001,3.458333333333333,0.6,885.0000000000002,-1800.000000000001,0.6,2.4900000000000007,-0.7200000000000003,,False,3175.000000000001
ATM_U3S30_0S_H10_CD30__AVOID_OPEN,5,1,4425.000000000001,4425.000000000001,4425.000000000001,3.458333333333333,0.6,885.0000000000002,-1800.000000000001,0.6,2.4900000000000007,-0.7200000000000003,,False,3175.000000000001
ATM_U3S30_0S_H10_CD30__NO_MORNING_WEAK,5,1,4425.000000000001,4425.000000000001,4425.000000000001,3.458333333333333,0.6,885.0000000000002,-1800.000000000001,0.6,2.4900000000000007,-0.7200000000000003,,False,3175.000000000001
ATM_U1S10_0S_H5_CD30__CHOPPY_ACTIVE,21,3,4124.999999999991,-100.00000000002274,3225.000000000014,1.6297709923664088,0.38095238095238093,196.428571428571,-2699.999999999996,0.14285714285714285,1.2357142857142869,-0.6238095238095254,,False,-1125.0000000000095
ATM_U2S20_0S_H10_CD30__CHOPPY_ACTIVE,9,3,3674.9999999999686,-100.00000000002274,2950.0000000000027,2.130769230769211,0.4444444444444444,408.33333333332985,-1925.0000000000043,0.2222222222222222,1.849999999999999,-0.7222222222222285,,False,1424.9999999999686
ATM_U3S30_0S_H10_CD30__CHOPPY_ACTIVE,3,1,3500.0000000000005,3500.0000000000005,3500.0000000000005,3.8571428571428545,0.6666666666666666,1166.6666666666667,-1225.0000000000014,0.6666666666666666,3.150000000000001,-0.8166666666666677,,False,2750.0000000000005
ATM_U1S10_1S_H10_CD30,38,4,3325.000000000129,-2924.9999999999545,4450.0000000000455,1.252851711026627,0.2894736842105263,87.5000000000034,-7424.999999999983,0.18421052631578946,1.022368421052635,-0.6999999999999971,,False,-6174.999999999869
ATM_ACCEL_0S_H10_CD30__IMPULSE_DENSITY_ACTIVE,31,3,3074.999999999977,-1925.0000000000114,5100.00000000001,1.233840304182507,0.3548387096774194,99.19354838709603,-6875.000000000003,0.22580645161290322,1.1854838709677424,-0.8483870967741955,,False,-4675.000000000023
ATM_U3S30_0S_H10_CD30__MIDDAY_ONLY,4,1,2925.000000000001,2925.000000000001,2925.000000000001,2.625,0.5,731.2500000000002,-1800.000000000001,0.5,2.3625000000000007,-0.9000000000000004,,False,1925.0000000000011
ATM_U3S30_0S_H10_CD30__TRENDING_ACTIVE,3,1,2749.999999999989,2749.999999999989,2749.999999999989,5.782608695652161,0.6666666666666666,916.666666666663,-574.9999999999995,0.6666666666666666,2.2166666666666592,-0.38333333333333286,,False,1999.9999999999893
ATM_ACCEL_0S_H10_CD30,32,3,2599.9999999999536,-1925.0000000000114,5100.00000000001,1.19082568807339,0.34375,81.24999999999855,-6975.0000000000255,0.21875,1.1484375000000004,-0.8515625000000033,,False,-5400.000000000045
ATM_ACCEL_0S_H10_CD30__HIGH_VOL_ONLY,32,3,2599.9999999999536,-1925.0000000000114,5100.00000000001,1.19082568807339,0.34375,81.24999999999855,-6975.0000000000255,0.21875,1.1484375000000004,-0.8515625000000033,,False,-5400.000000000045
