variant_name,total_trades,active_days,total_net_pnl,worst_day_pnl,best_day_pnl,profit_factor,win_rate,avg_pnl_per_trade,max_drawdown_sum,target_hit_rate,avg_mfe,avg_mae,beats_random_controls,live_candidate_flag,pnl_after_0_5_cost
OPT_LEAD_1S2PTS_H10_CD30__MIDDAY_ONLY,86,3,11474.99999999998,-2224.9999999999945,14199.999999999975,1.364864864864864,0.38372093023255816,133.4302325581393,-11675.000000000025,0.22093023255813954,1.1418604651162783,-0.794767441860465,,False,-10025.00000000002
OPT_LEAD_1S2PTS_H10_CD30,181,4,9425.000000000138,-4774.999999999949,19375.00000000007,1.124299373557536,0.3149171270718232,52.07182320442065,-21574.99999999992,0.20441988950276244,1.0676795580110503,-0.8817679558011041,,False,-35824.99999999986
OPT_LEAD_1S3PTS_H10_CD30__MIDDAY_ONLY,54,3,8724.999999999962,-1675.0000000000114,7824.99999999998,1.3320647002854404,0.3888888888888889,161.57407407407337,-10850.000000000002,0.25925925925925924,1.3879629629629624,-0.9731481481481491,,False,-4775.000000000041
OPT_LEAD_1S2PTS_H10_CD30__IMPULSE_DENSITY_ACTIVE,167,4,7550.000000000107,-7799.9999999999545,19375.00000000007,1.1040661612680922,0.2994011976047904,45.209580838323994,-18824.99999999989,0.20958083832335328,1.0679640718562877,-0.9116766467065861,,False,-34199.99999999989
OPT_LEAD_1S3PTS_H10_CD30,105,4,7250.000000000058,-1950.000000000017,9724.999999999998,1.1335789958544462,0.3238095238095238,69.0476190476196,-13774.999999999985,0.22857142857142856,1.3557142857142865,-1.045238095238095,,False,-18999.99999999994
OPT_LEAD_1S3PTS_H5_CD30,105,4,6900.000000000036,-1950.000000000017,6649.999999999975,1.1314911862791812,0.3333333333333333,65.71428571428606,-13774.999999999985,0.20952380952380953,1.313333333333334,-1.010952380952381,,False,-19349.999999999967
OPT_LEAD_1S3PTS_H5_CD30__MIDDAY_ONLY,54,3,5549.999999999949,-1675.0000000000114,4649.999999999969,1.211227402473832,0.3888888888888889,102.77777777777683,-10850.000000000002,0.2222222222222222,1.3055555555555547,-0.9731481481481491,,False,-7950.000000000051
OPT_LEAD_1S3PTS_H10_CD30__IMPULSE_DENSITY_ACTIVE,103,4,5475.00000000005,-3224.9999999999377,9724.999999999998,1.1008751727314612,0.3106796116504854,53.155339805825726,-13774.999999999985,0.22330097087378642,1.345145631067962,-1.0655339805825241,,False,-20274.999999999945
OPT_LEAD_1S3PTS_H5_CD30__IMPULSE_DENSITY_ACTIVE,103,4,5125.000000000028,-1950.000000000017,6649.999999999975,1.0976655550262036,0.32038834951456313,49.75728155339833,-13774.999999999985,0.20388349514563106,1.3019417475728163,-1.030582524271845,,False,-20624.99999999997
OPT_LEAD_1S2PTS_H5_CD30__MIDDAY_ONLY,87,3,2399.9999999999563,-2224.9999999999945,5074.999999999967,1.0691642651296818,0.3563218390804598,27.58620689655122,-12400.000000000022,0.1839080459770115,1.071264367816091,-0.7977011494252875,,False,-19350.000000000047
