date,variant,candidate_count,selected_trades,gross_pnl,net_pnl,win_rate,avg_pnl,profit_factor,max_drawdown,target_hits,one_sec_kills,three_sec_kills,hard_stops,promoted_count,promoted_net_pnl
2026-04-24,actual_system,,52,4374.999999999943,4374.999999999943,0.4807692307692308,84.13461538461428,1.1255380200860816,-32825.00000000005,20,19,10,3,11,8724.999999999965
2026-04-24,naive_score3,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0
2026-04-24,ranked_top1_per_15s,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0
2026-04-24,ranked_score4_top1_per_15s,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0
2026-04-24,ranked_score5_only,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0
2026-04-24,candle_context_score3,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0
2026-04-24,candle_context_score4,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0
2026-04-24,candle_context_plus_immediate_confirmation,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0
2026-04-27,actual_system,,48,-10675.00000000001,-10675.00000000001,0.375,-222.3958333333335,0.6770045385779121,-30349.999999999964,13,18,14,3,6,-200.00000000004547
2026-04-27,naive_score3,94809.0,1311,-266656.00000000035,-266656.00000000035,0.14111365369946605,-203.3989321128912,0.5077359316070171,-268245.00000000023,48,1022,226,14,258,-25697.9999999998
2026-04-27,ranked_top1_per_15s,1500.0,812,-183867.00000000116,-183867.00000000116,0.15024630541871922,-226.43719211822804,0.5006639998044646,-195967.0000000013,40,612,139,18,154,-27812.00000000006
2026-04-27,ranked_score4_top1_per_15s,1496.0,838,-235197.00000000003,-235197.00000000003,0.14081145584725538,-280.664677804296,0.3957967261629519,-235254.9999999999,32,646,142,15,252,-42100.99999999997
2026-04-27,ranked_score5_only,1224.0,776,-74311.99999999974,-74311.99999999974,0.18814432989690721,-95.76288659793781,0.7099091221385972,-78853.9999999997,9,564,197,5,776,-74311.99999999974
2026-04-27,candle_context_score3,860.0,505,-109852.00000000009,-109852.00000000009,0.17425742574257425,-217.5287128712873,0.5403778163636739,-115042.00000000015,25,377,92,11,113,-15914.000000000164
2026-04-27,candle_context_score4,842.0,500,-93706.99999999953,-93706.99999999953,0.174,-187.41399999999908,0.5712743227601111,-100529.99999999968,21,373,98,8,161,-20281.99999999989
2026-04-27,candle_context_plus_immediate_confirmation,842.0,496,-88455.00000000012,-88455.00000000012,0.1774193548387097,-178.33669354838733,0.5813791699991947,-104006.00000000026,22,371,92,10,151,-4383.000000000016
2026-04-28,actual_system,,44,-9049.999999999869,-9049.999999999869,0.4772727272727273,-205.6818181818152,0.7484364141765145,-33624.999999999854,16,14,10,4,2,-1199.9999999999886
2026-04-28,naive_score3,104233.0,1309,-243269.9999999998,-243269.9999999998,0.16653934300993126,-185.8441558441557,0.6276580276145597,-206270.99999999983,50,987,260,9,241,-25802.000000000087
2026-04-28,ranked_top1_per_15s,1499.0,823,-96895.00000000029,-96895.00000000029,0.19319562575941676,-117.73390036452041,0.7599784985124829,-96125.00000000029,46,603,161,12,132,-19209.999999999927
2026-04-28,ranked_score4_top1_per_15s,1497.0,849,-192450.99999999988,-192450.99999999988,0.17550058892815076,-226.67962308598337,0.58084097086702,-174265.99999999988,54,631,153,10,195,-46598.00000000007
