group_dimension,group_value,class_label,count,tradable_rate,opposite_side_moving_rate,underlying_led_rate,noise_led_rate
overall,all,impulse_present_harvestable,162,0.018518518518518517,0.0,1.0,0.0
overall,all,impulse_present_not_harvestable,351,0.06267806267806268,0.0,1.0,0.0
overall,all,no_impulse_harvestable,2293,0.02573048408198866,0.0,0.0,0.971652856519843
overall,all,no_impulse_not_harvestable,6311,0.02947234986531453,0.0,0.0,0.9770242433845666
atm_bucket,ATM,impulse_present_harvestable,33,0.0,0.0,1.0,0.0
atm_bucket,ATM,impulse_present_not_harvestable,80,0.0,0.0,1.0,0.0
atm_bucket,ATM,no_impulse_harvestable,463,0.04103671706263499,0.0,0.0,0.980561555075594
atm_bucket,ATM,no_impulse_not_harvestable,1297,0.020046260601387818,0.0,0.0,0.9799537393986122
atm_bucket,ATM_100,impulse_present_harvestable,63,0.015873015873015872,0.0,1.0,0.0
atm_bucket,ATM_100,impulse_present_not_harvestable,161,0.049689440993788817,0.0,1.0,0.0
atm_bucket,ATM_100,no_impulse_harvestable,962,0.02286902286902287,0.0,0.0,0.972972972972973
atm_bucket,ATM_100,no_impulse_not_harvestable,2563,0.030433086227077643,0.0,0.0,0.979711275848615
atm_bucket,ATM_200,impulse_present_harvestable,66,0.030303030303030304,0.0,1.0,0.0
atm_bucket,ATM_200,impulse_present_not_harvestable,110,0.12727272727272726,0.0,1.0,0.0
atm_bucket,ATM_200,no_impulse_harvestable,868,0.020737327188940093,0.0,0.0,0.9654377880184332
atm_bucket,ATM_200,no_impulse_not_harvestable,2451,0.03345573235414117,0.0,0.0,0.9726642186862505
premium_bucket,150-300,impulse_present_harvestable,46,0.0,0.0,1.0,0.0
premium_bucket,150-300,impulse_present_not_harvestable,116,0.034482758620689655,0.0,1.0,0.0
premium_bucket,150-300,no_impulse_harvestable,535,0.022429906542056073,0.0,0.0,0.9588785046728971
premium_bucket,150-300,no_impulse_not_harvestable,1283,0.02494154325798909,0.0,0.0,0.9649259547934529
premium_bucket,300-500,impulse_present_harvestable,39,0.0,0.0,1.0,0.0
premium_bucket,300-500,impulse_present_not_harvestable,87,0.0,0.0,1.0,0.0
premium_bucket,300-500,no_impulse_harvestable,821,0.00243605359317905,0.0,0.0,0.9829476248477467
premium_bucket,300-500,no_impulse_not_harvestable,2509,0.0035870864886408927,0.0,0.0,0.9856516540454364
premium_bucket,50-80,impulse_present_harvestable,7,0.2857142857142857,0.0,1.0,0.0
premium_bucket,50-80,impulse_present_not_harvestable,18,0.3333333333333333,0.0,1.0,0.0
premium_bucket,50-80,no_impulse_harvestable,48,0.2708333333333333,0.0,0.0,0.8958333333333334
premium_bucket,50-80,no_impulse_not_harvestable,180,0.2222222222222222,0.0,0.0,0.9666666666666667
premium_bucket,80-150,impulse_present_harvestable,27,0.0,0.0,1.0,0.0
premium_bucket,80-150,impulse_present_not_harvestable,64,0.078125,0.0,1.0,0.0
premium_bucket,80-150,no_impulse_harvestable,184,0.10869565217391304,0.0,0.0,0.9510869565217391
premium_bucket,80-150,no_impulse_not_harvestable,567,0.10052910052910052,0.0,0.0,0.9506172839506173
premium_bucket,<50,impulse_present_not_harvestable,16,0.4375,0.0,1.0,0.0
premium_bucket,<50,no_impulse_harvestable,38,0.2894736842105263,0.0,0.0,0.9736842105263158
premium_bucket,<50,no_impulse_not_harvestable,136,0.3382352941176471,0.0,0.0,0.9338235294117647
premium_bucket,>500,impulse_present_harvestable,43,0.023255813953488372,0.0,1.0,0.0
premium_bucket,>500,impulse_present_not_harvestable,50,0.0,0.0,1.0,0.0
premium_bucket,>500,no_impulse_harvestable,667,0.0014992503748125937,0.0,0.0,0.9790104947526237
premium_bucket,>500,no_impulse_not_harvestable,1636,0.0012224938875305623,0.0,0.0,0.9871638141809291
spread_bucket,0.5-1.0%,impulse_present_harvestable,3,0.0,0.0,1.0,0.0
spread_bucket,0.5-1.0%,impulse_present_not_harvestable,8,0.125,0.0,1.0,0.0
spread_bucket,0.5-1.0%,no_impulse_harvestable,22,0.22727272727272727,0.0,0.0,0.8636363636363636
spread_bucket,0.5-1.0%,no_impulse_not_harvestable,33,0.45454545454545453,0.0,0.0,0.9696969696969697
spread_bucket,1.0-1.5%,impulse_present_not_harvestable,3,0.6666666666666666,0.0,1.0,0.0
spread_bucket,1.0-1.5%,no_impulse_not_harvestable,3,1.0,0.0,0.0,1.0
spread_bucket,<=0.5%,impulse_present_harvestable,159,0.018867924528301886,0.0,1.0,0.0
spread_bucket,<=0.5%,impulse_present_not_harvestable,340,0.05588235294117647,0.0,1.0,0.0
spread_bucket,<=0.5%,no_impulse_harvestable,2270,0.02378854625550661,0.0,0.0,0.9726872246696036
spread_bucket,<=0.5%,no_impulse_not_harvestable,6253,0.026867103790180712,0.0,0.0,0.9769710538941309
spread_bucket,>1.5%,no_impulse_harvestable,1,0.0,0.0,0.0,1.0
spread_bucket,>1.5%,no_impulse_not_harvestable,22,0.0,0.0,0.0,1.0
