impulse_type,impulse_horizon_seconds,underlying_threshold_points,entry_lag_seconds,strike_bucket,max_hold_seconds,spread_pct_threshold,depth_threshold,event_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,net_expectancy_after_0_5_cost,worst_day_expectancy
U_2S_25PTS,2,25.0,1,ATM,5,0.005,500,1,1,1.0,10.75,0.0,10.25,10.25
U_2S_25PTS,2,25.0,1,ATM,5,0.01,500,1,1,1.0,10.75,0.0,10.25,10.25
U_2S_25PTS,2,25.0,1,ATM,5,0.015,500,1,1,1.0,10.75,0.0,10.25,10.25
U_3S_30PTS,3,30.0,0,ATM,10,0.005,250,6,6,0.8333333333333334,13.46666666666666,-1.9416666666666675,8.466666666666663,6.730000000000001
U_3S_30PTS,3,30.0,0,ATM,10,0.01,250,7,7,0.8571428571428571,12.307142857142852,-1.664285714285715,7.949999999999998,6.416666666666669
U_3S_30PTS,3,30.0,0,ATM,10,0.015,250,7,7,0.8571428571428571,12.307142857142852,-1.664285714285715,7.949999999999998,6.416666666666669
U_3S_30PTS,3,30.0,0,ATM,5,0.005,250,6,6,0.6666666666666666,9.708333333333327,-0.833333333333338,7.0249999999999915,5.599999999999994
U_3S_30PTS,3,30.0,0,ATM,3,0.005,250,6,6,0.6666666666666666,7.624999999999992,-0.8250000000000041,6.991666666666659,5.559999999999995
U_2S_25PTS,2,25.0,1,ATM,5,0.005,250,2,2,1.0,8.274999999999999,0.0,6.549999999999997,6.549999999999997
U_2S_25PTS,2,25.0,1,ATM,5,0.01,250,2,2,1.0,8.274999999999999,0.0,6.549999999999997,6.549999999999997
U_2S_25PTS,2,25.0,1,ATM,5,0.015,250,2,2,1.0,8.274999999999999,0.0,6.549999999999997,6.549999999999997
U_3S_30PTS,3,30.0,0,ATM,5,0.005,500,3,3,0.6666666666666666,9.733333333333329,-0.8166666666666677,6.549999999999993,6.549999999999993
U_3S_30PTS,3,30.0,0,ATM,5,0.01,500,3,3,0.6666666666666666,9.733333333333329,-0.8166666666666677,6.549999999999993,6.549999999999993
U_3S_30PTS,3,30.0,0,ATM,5,0.015,500,3,3,0.6666666666666666,9.733333333333329,-0.8166666666666677,6.549999999999993,6.549999999999993
U_3S_30PTS,3,30.0,0,ATM,3,0.01,250,7,7,0.7142857142857143,6.964285714285707,-0.7071428571428606,6.349999999999993,5.049999999999996
U_3S_30PTS,3,30.0,0,ATM,3,0.015,250,7,7,0.7142857142857143,6.964285714285707,-0.7071428571428606,6.349999999999993,5.049999999999996
U_3S_30PTS,3,30.0,0,ATM,5,0.01,250,7,7,0.7142857142857143,8.749999999999995,-0.7142857142857183,6.214285714285708,4.891666666666663
U_3S_30PTS,3,30.0,0,ATM,5,0.015,250,7,7,0.7142857142857143,8.749999999999995,-0.7142857142857183,6.214285714285708,4.891666666666663
