date,side,atm_bucket,lag_seconds,correlation,sample_count
2026-04-24,CALL,ATM,-10,,31762
2026-04-24,CALL,ATM,-9,,31763
2026-04-24,CALL,ATM,-8,,31764
2026-04-24,CALL,ATM,-7,,31765
2026-04-24,CALL,ATM,-6,,31766
2026-04-24,CALL,ATM,-5,,31767
2026-04-24,CALL,ATM,-4,,31768
2026-04-24,CALL,ATM,-3,,31769
2026-04-24,CALL,ATM,-2,,31770
2026-04-24,CALL,ATM,-1,,31771
2026-04-24,CALL,ATM,0,,31772
2026-04-24,CALL,ATM,1,,31771
2026-04-24,CALL,ATM,2,,31770
2026-04-24,CALL,ATM,3,,31769
2026-04-24,CALL,ATM,4,,31768
2026-04-24,CALL,ATM,5,,31767
2026-04-24,CALL,ATM,6,,31766
2026-04-24,CALL,ATM,7,,31765
2026-04-24,CALL,ATM,8,,31764
2026-04-24,CALL,ATM,9,,31763
2026-04-24,CALL,ATM,10,,31762
2026-04-24,CALL,ATM_100,-10,,31767
2026-04-24,CALL,ATM_100,-9,,31768
2026-04-24,CALL,ATM_100,-8,,31769
2026-04-24,CALL,ATM_100,-7,,31770
2026-04-24,CALL,ATM_100,-6,,31771
2026-04-24,CALL,ATM_100,-5,,31772
2026-04-24,CALL,ATM_100,-4,,31773
2026-04-24,CALL,ATM_100,-3,,31774
2026-04-24,CALL,ATM_100,-2,,31775
2026-04-24,CALL,ATM_100,-1,,31776
2026-04-24,CALL,ATM_100,0,,31777
2026-04-24,CALL,ATM_100,1,,31776
2026-04-24,CALL,ATM_100,2,,31775
2026-04-24,CALL,ATM_100,3,,31774
2026-04-24,CALL,ATM_100,4,,31773
2026-04-24,CALL,ATM_100,5,,31772
2026-04-24,CALL,ATM_100,6,,31771
2026-04-24,CALL,ATM_100,7,,31770
2026-04-24,CALL,ATM_100,8,,31769
2026-04-24,CALL,ATM_100,9,,31768
2026-04-24,CALL,ATM_100,10,,31767
2026-04-24,CALL,ATM_200,-10,,31768
2026-04-24,CALL,ATM_200,-9,,31769
2026-04-24,CALL,ATM_200,-8,,31770
2026-04-24,CALL,ATM_200,-7,,31771
2026-04-24,CALL,ATM_200,-6,,31772
2026-04-24,CALL,ATM_200,-5,,31773
2026-04-24,CALL,ATM_200,-4,,31774
2026-04-24,CALL,ATM_200,-3,,31775
2026-04-24,CALL,ATM_200,-2,,31776
2026-04-24,CALL,ATM_200,-1,,31777
2026-04-24,CALL,ATM_200,0,,31778
2026-04-24,CALL,ATM_200,1,,31777
2026-04-24,CALL,ATM_200,2,,31776
2026-04-24,CALL,ATM_200,3,,31775
2026-04-24,CALL,ATM_200,4,,31774
2026-04-24,CALL,ATM_200,5,,31773
2026-04-24,CALL,ATM_200,6,,31772
2026-04-24,CALL,ATM_200,7,,31771
2026-04-24,CALL,ATM_200,8,,31770
2026-04-24,CALL,ATM_200,9,,31769
2026-04-24,CALL,ATM_200,10,,31768
2026-04-24,PUT,ATM,-10,,31762
2026-04-24,PUT,ATM,-9,,31763
2026-04-24,PUT,ATM,-8,,31764
2026-04-24,PUT,ATM,-7,,31765
2026-04-24,PUT,ATM,-6,,31766
2026-04-24,PUT,ATM,-5,,31767
2026-04-24,PUT,ATM,-4,,31768
2026-04-24,PUT,ATM,-3,,31769
2026-04-24,PUT,ATM,-2,,31770
2026-04-24,PUT,ATM,-1,,31771
2026-04-24,PUT,ATM,0,,31772
2026-04-24,PUT,ATM,1,,31771
2026-04-24,PUT,ATM,2,,31770
2026-04-24,PUT,ATM,3,,31769
2026-04-24,PUT,ATM,4,,31768
2026-04-24,PUT,ATM,5,,31767
2026-04-24,PUT,ATM,6,,31766
2026-04-24,PUT,ATM,7,,31765
2026-04-24,PUT,ATM,8,,31764
2026-04-24,PUT,ATM,9,,31763
2026-04-24,PUT,ATM,10,,31762
2026-04-24,PUT,ATM_100,-10,,31767
2026-04-24,PUT,ATM_100,-9,,31768
2026-04-24,PUT,ATM_100,-8,,31769
2026-04-24,PUT,ATM_100,-7,,31770
2026-04-24,PUT,ATM_100,-6,,31771
2026-04-24,PUT,ATM_100,-5,,31772
2026-04-24,PUT,ATM_100,-4,,31773
2026-04-24,PUT,ATM_100,-3,,31774
2026-04-24,PUT,ATM_100,-2,,31775
2026-04-24,PUT,ATM_100,-1,,31776
2026-04-24,PUT,ATM_100,0,,31777
2026-04-24,PUT,ATM_100,1,,31776
2026-04-24,PUT,ATM_100,2,,31775
2026-04-24,PUT,ATM_100,3,,31774
2026-04-24,PUT,ATM_100,4,,31773
2026-04-24,PUT,ATM_100,5,,31772
2026-04-24,PUT,ATM_100,6,,31771
2026-04-24,PUT,ATM_100,7,,31770
2026-04-24,PUT,ATM_100,8,,31769
2026-04-24,PUT,ATM_100,9,,31768
2026-04-24,PUT,ATM_100,10,,31767
2026-04-24,PUT,ATM_200,-10,,31768
2026-04-24,PUT,ATM_200,-9,,31769
2026-04-24,PUT,ATM_200,-8,,31770
2026-04-24,PUT,ATM_200,-7,,31771
2026-04-24,PUT,ATM_200,-6,,31772
2026-04-24,PUT,ATM_200,-5,,31773
2026-04-24,PUT,ATM_200,-4,,31774
2026-04-24,PUT,ATM_200,-3,,31775
2026-04-24,PUT,ATM_200,-2,,31776
2026-04-24,PUT,ATM_200,-1,,31777
2026-04-24,PUT,ATM_200,0,,31778
2026-04-24,PUT,ATM_200,1,,31777
2026-04-24,PUT,ATM_200,2,,31776
2026-04-24,PUT,ATM_200,3,,31775
2026-04-24,PUT,ATM_200,4,,31774
2026-04-24,PUT,ATM_200,5,,31773
2026-04-24,PUT,ATM_200,6,,31772
2026-04-24,PUT,ATM_200,7,,31771
2026-04-24,PUT,ATM_200,8,,31770
2026-04-24,PUT,ATM_200,9,,31769
2026-04-24,PUT,ATM_200,10,,31768
2026-04-27,CALL,ATM,-10,0.011595069394510089,31279
2026-04-27,CALL,ATM,-9,0.006461282828369347,31280
2026-04-27,CALL,ATM,-8,1.1034461279563655e-05,31281
2026-04-27,CALL,ATM,-7,0.017341575156544428,31282
2026-04-27,CALL,ATM,-6,0.015597399341874778,31283
2026-04-27,CALL,ATM,-5,0.01527904341217016,31284
2026-04-27,CALL,ATM,-4,0.010667390145113325,31285
2026-04-27,CALL,ATM,-3,0.015440881757838172,31286
2026-04-27,CALL,ATM,-2,0.042928363769200915,31287
2026-04-27,CALL,ATM,-1,0.0657927551744681,31288
2026-04-27,CALL,ATM,0,0.019326803879901176,31289
2026-04-27,CALL,ATM,1,-0.005823116932592125,31288
2026-04-27,CALL,ATM,2,-0.010960485063689412,31287
2026-04-27,CALL,ATM,3,-0.015248999696420096,31286
2026-04-27,CALL,ATM,4,0.006694562626060089,31285
2026-04-27,CALL,ATM,5,-0.00224273460358114,31284
2026-04-27,CALL,ATM,6,-0.011333997398798989,31283
2026-04-27,CALL,ATM,7,0.0036664256023635285,31282
2026-04-27,CALL,ATM,8,-0.01456773848655397,31281
2026-04-27,CALL,ATM,9,-0.003458594089557124,31280
2026-04-27,CALL,ATM,10,0.004012243338971644,31279
2026-04-27,CALL,ATM_100,-10,0.013245235898052763,31279
2026-04-27,CALL,ATM_100,-9,0.003106316332789625,31280
2026-04-27,CALL,ATM_100,-8,0.0141576279652237,31281
2026-04-27,CALL,ATM_100,-7,0.022069685138180528,31282
2026-04-27,CALL,ATM_100,-6,0.018825561452607952,31283
2026-04-27,CALL,ATM_100,-5,0.017960360930015337,31284
2026-04-27,CALL,ATM_100,-4,0.02784878760769502,31285
2026-04-27,CALL,ATM_100,-3,0.022565718399782747,31286
2026-04-27,CALL,ATM_100,-2,0.05145870923196905,31287
2026-04-27,CALL,ATM_100,-1,0.09632328389169785,31288
2026-04-27,CALL,ATM_100,0,0.027784759649243443,31289
2026-04-27,CALL,ATM_100,1,-0.007251561085454442,31288
2026-04-27,CALL,ATM_100,2,0.007248669111279503,31287
2026-04-27,CALL,ATM_100,3,-0.008598652534752864,31286
2026-04-27,CALL,ATM_100,4,-0.006960385983953866,31285
2026-04-27,CALL,ATM_100,5,0.00413800211958659,31284
2026-04-27,CALL,ATM_100,6,-0.012745360431316983,31283
2026-04-27,CALL,ATM_100,7,-0.009130562280299733,31282
2026-04-27,CALL,ATM_100,8,-0.0025449600024852583,31281
2026-04-27,CALL,ATM_100,9,-0.001266194629869988,31280
2026-04-27,CALL,ATM_100,10,-0.004239051117931324,31279
2026-04-27,CALL,ATM_200,-10,0.018680591881135168,31279
2026-04-27,CALL,ATM_200,-9,0.007936966568110439,31280
2026-04-27,CALL,ATM_200,-8,0.002959920486447301,31281
2026-04-27,CALL,ATM_200,-7,0.02048297353056494,31282
2026-04-27,CALL,ATM_200,-6,0.014268742395041015,31283
2026-04-27,CALL,ATM_200,-5,0.012484241993197748,31284
2026-04-27,CALL,ATM_200,-4,0.02848103996986658,31285
2026-04-27,CALL,ATM_200,-3,0.02005678259602561,31286
2026-04-27,CALL,ATM_200,-2,0.046764572834127646,31287
2026-04-27,CALL,ATM_200,-1,0.088798724685308,31288
2026-04-27,CALL,ATM_200,0,0.021953546388148705,31289
2026-04-27,CALL,ATM_200,1,-0.010380805168683976,31288
2026-04-27,CALL,ATM_200,2,0.000520628154558372,31287
2026-04-27,CALL,ATM_200,3,-0.008387654826766887,31286
2026-04-27,CALL,ATM_200,4,-0.0035052479829440993,31285
2026-04-27,CALL,ATM_200,5,0.013511150625869101,31284
2026-04-27,CALL,ATM_200,6,-0.011093386876853281,31283
2026-04-27,CALL,ATM_200,7,-0.00604242742210493,31282
2026-04-27,CALL,ATM_200,8,0.006950915108646478,31281
2026-04-27,CALL,ATM_200,9,-0.011034534744119842,31280
2026-04-27,CALL,ATM_200,10,-0.012425132674026495,31279
2026-04-27,PUT,ATM,-10,0.009583476223529598,31279
2026-04-27,PUT,ATM,-9,0.012452473709297484,31280
2026-04-27,PUT,ATM,-8,0.010674569476441988,31281
2026-04-27,PUT,ATM,-7,0.020107485856821837,31282
2026-04-27,PUT,ATM,-6,0.01612619294091222,31283
2026-04-27,PUT,ATM,-5,0.02210654135689554,31284
2026-04-27,PUT,ATM,-4,0.02362499809114732,31285
2026-04-27,PUT,ATM,-3,0.03619231474785986,31286
2026-04-27,PUT,ATM,-2,0.042734914613283284,31287
2026-04-27,PUT,ATM,-1,0.07147479330712206,31288
2026-04-27,PUT,ATM,0,0.04211791582043785,31289
2026-04-27,PUT,ATM,1,0.010315237123531688,31288
2026-04-27,PUT,ATM,2,0.000852048376188078,31287
2026-04-27,PUT,ATM,3,0.0052505369259308815,31286
2026-04-27,PUT,ATM,4,-0.009560182003406338,31285
2026-04-27,PUT,ATM,5,-0.008688280920960974,31284
2026-04-27,PUT,ATM,6,0.0030174747289732086,31283
2026-04-27,PUT,ATM,7,-0.0017095304669256831,31282
2026-04-27,PUT,ATM,8,-0.003995685919045028,31281
2026-04-27,PUT,ATM,9,0.007362810461187548,31280
2026-04-27,PUT,ATM,10,-0.013090225512954278,31279
2026-04-27,PUT,ATM_100,-10,0.019469938694119608,31279
2026-04-27,PUT,ATM_100,-9,0.009956016188123322,31280
2026-04-27,PUT,ATM_100,-8,0.006021119811488849,31281
2026-04-27,PUT,ATM_100,-7,0.04046308363892401,31282
2026-04-27,PUT,ATM_100,-6,0.015755404175852618,31283
2026-04-27,PUT,ATM_100,-5,0.02532029108500979,31284
2026-04-27,PUT,ATM_100,-4,0.04002462434535751,31285
2026-04-27,PUT,ATM_100,-3,0.03711957784842727,31286
2026-04-27,PUT,ATM_100,-2,0.050390325696535655,31287
2026-04-27,PUT,ATM_100,-1,0.10289880687791234,31288
2026-04-27,PUT,ATM_100,0,0.04576597716993965,31289
2026-04-27,PUT,ATM_100,1,-0.004790165894485968,31288
2026-04-27,PUT,ATM_100,2,0.0066569291366872264,31287
2026-04-27,PUT,ATM_100,3,0.013104896244495354,31286
2026-04-27,PUT,ATM_100,4,-0.0076131994028539535,31285
2026-04-27,PUT,ATM_100,5,-0.011629226214638329,31284
2026-04-27,PUT,ATM_100,6,-0.0003407458676615763,31283
2026-04-27,PUT,ATM_100,7,0.0015383896061972827,31282
2026-04-27,PUT,ATM_100,8,-0.007321618952700206,31281
2026-04-27,PUT,ATM_100,9,-0.0013925328649717825,31280
2026-04-27,PUT,ATM_100,10,-0.0005857626359262046,31279
2026-04-27,PUT,ATM_200,-10,0.020927799411691306,31279
2026-04-27,PUT,ATM_200,-9,0.00999017654168873,31280
2026-04-27,PUT,ATM_200,-8,0.008224891182746026,31281
2026-04-27,PUT,ATM_200,-7,0.03718743806405786,31282
2026-04-27,PUT,ATM_200,-6,0.019771995146912368,31283
2026-04-27,PUT,ATM_200,-5,0.025824484100628008,31284
2026-04-27,PUT,ATM_200,-4,0.044809454261016755,31285
2026-04-27,PUT,ATM_200,-3,0.03532231737899206,31286
2026-04-27,PUT,ATM_200,-2,0.05286625846920734,31287
2026-04-27,PUT,ATM_200,-1,0.11158274945903769,31288
2026-04-27,PUT,ATM_200,0,0.04857731553929435,31289
2026-04-27,PUT,ATM_200,1,-0.0026594019281014924,31288
2026-04-27,PUT,ATM_200,2,0.017200034739316375,31287
2026-04-27,PUT,ATM_200,3,0.0023841410165516006,31286
2026-04-27,PUT,ATM_200,4,-0.005110678812824572,31285
2026-04-27,PUT,ATM_200,5,-0.0007166405719060187,31284
2026-04-27,PUT,ATM_200,6,-0.0056462078828139394,31283
2026-04-27,PUT,ATM_200,7,0.0018760834260307185,31282
2026-04-27,PUT,ATM_200,8,-0.0035538864357580508,31281
2026-04-27,PUT,ATM_200,9,-0.006757887301387045,31280
2026-04-27,PUT,ATM_200,10,0.005339128606861711,31279
2026-04-28,CALL,ATM,-10,0.007731387623292097,31170
2026-04-28,CALL,ATM,-9,0.007800771640332816,31171
2026-04-28,CALL,ATM,-8,0.008418807540172569,31172
2026-04-28,CALL,ATM,-7,0.009338160276393871,31173
2026-04-28,CALL,ATM,-6,0.008839400147454,31174
2026-04-28,CALL,ATM,-5,0.009886497312685849,31175
2026-04-28,CALL,ATM,-4,0.013549282815193632,31176
2026-04-28,CALL,ATM,-3,0.014666263540377424,31177
2026-04-28,CALL,ATM,-2,0.02233563551340876,31178
2026-04-28,CALL,ATM,-1,0.029736394616037557,31179
2026-04-28,CALL,ATM,0,0.01688936695991181,31180
2026-04-28,CALL,ATM,1,0.005889232756002015,31179
2026-04-28,CALL,ATM,2,0.0005670392438903559,31178
2026-04-28,CALL,ATM,3,0.0014430274309228362,31177
2026-04-28,CALL,ATM,4,0.0013548160179509849,31176
2026-04-28,CALL,ATM,5,0.004075650277563037,31175
2026-04-28,CALL,ATM,6,0.0038298375708852046,31174
2026-04-28,CALL,ATM,7,-0.0022423405232190954,31173
