base_variant,ablation_name,days,total_trades,total_net_pnl,average_day_pnl,worst_day_pnl,avg_profit_factor,avg_trade_count,max_drawdown_sum,delta_total_pnl_vs_base,delta_trade_count_vs_base,delta_worst_day_vs_base,delta_profit_factor_vs_base
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,baseline,4,184,156550.0000000003,39137.50000000007,0.0,6.4324334352683215,46.0,-38416.0,0.0,0.0,0.0,0.0
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,remove_atm_filter,4,368,110829.00000000036,27707.25000000009,-11324.999999999804,0.8541339774632992,92.0,-74070.99999999985,-45720.99999999993,184.0,-11324.999999999804,-5.578299457805022
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,remove_premium_band,4,241,245047.00000000038,61261.750000000095,-800.0,1.8977135391667066,60.25,-69866.00000000007,88497.00000000009,57.0,-800.0,-4.534719896101615
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,remove_abs_spread,4,184,156550.0000000003,39137.50000000007,0.0,6.4324334352683215,46.0,-38416.0,0.0,0.0,0.0,0.0
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,remove_spread_pct,4,184,156550.0000000003,39137.50000000007,0.0,6.4324334352683215,46.0,-38416.0,0.0,0.0,0.0,0.0
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,remove_depth_filter,4,699,-54227.99999999986,-13556.999999999965,-61144.00000000013,0.8501755998774199,174.75,-188274.0000000001,-210778.00000000015,515.0,-61144.00000000013,-5.582257835390902
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,remove_top1_ranking,4,191,156612.00000000023,39153.00000000006,0.0,6.420700086499082,47.75,-54111.0,61.99999999994179,7.0,0.0,-0.011733348769239704
ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,remove_cooldown,4,200,139509.00000000032,34877.25000000008,0.0,6.3919347890963865,50.0,-42538.000000000044,-17040.99999999997,16.0,0.0,-0.04049864617193499
CTX_ATM200_SCORE5_P100_350,baseline,4,63,149055.00000000003,37263.75000000001,-4657.99999999998,1.36377266163695,15.75,-20601.99999999992,0.0,0.0,0.0,0.0
CTX_ATM200_SCORE5_P100_350,remove_atm_filter,4,98,137129.00000000012,34282.25000000003,-19354.999999999873,1.0560009248021467,24.5,-39224.99999999977,-11925.999999999913,35.0,-14696.999999999893,-0.3077717368348034
CTX_ATM200_SCORE5_P100_350,remove_premium_band,4,115,66967.00000000004,16741.75000000001,-6871.999999999971,0.44562448044620484,28.75,-66672.00000000001,-82087.99999999999,52.0,-2213.999999999991,-0.9181481811907453
CTX_ATM200_SCORE5_P100_350,remove_abs_spread,4,63,149055.00000000003,37263.75000000001,-4657.99999999998,1.36377266163695,15.75,-20601.99999999992,0.0,0.0,0.0,0.0
CTX_ATM200_SCORE5_P100_350,remove_spread_pct,4,63,149055.00000000003,37263.75000000001,-4657.99999999998,1.36377266163695,15.75,-20601.99999999992,0.0,0.0,0.0,0.0
CTX_ATM200_SCORE5_P100_350,remove_depth_filter,4,494,78783.99999999991,19695.999999999978,-70189.00000000016,0.9110891159829402,123.5,-178130.00000000023,-70271.00000000012,431.0,-65531.00000000018,-0.4526835456540099
CTX_ATM200_SCORE5_P100_350,remove_context,4,194,74847.00000000029,18711.750000000073,0.0,1.735328986304502,48.5,-43081.99999999985,-74207.99999999974,131.0,4657.99999999998,0.37155632466755195
CTX_ATM200_SCORE5_P100_350,remove_top1_ranking,4,65,155455.00000000006,38863.750000000015,-4657.99999999998,1.3694205513981144,16.25,-23881.99999999992,6400.000000000029,2.0,0.0,0.00564788976116426
CTX_ATM200_SCORE5_P100_350,remove_cooldown,4,68,159569.00000000006,39892.250000000015,-4657.99999999998,1.4094580420399083,17.0,-16412.99999999999,10514.00000000003,5.0,0.0,0.04568538040295822
