variant_name,premium_bucket,trades,net_pnl,win_rate,avg_pnl,profit_factor,avg_spread_pct,avg_depth
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD1P5_SPREADPCT010_DEPTH250,<50,19,-2124.999999999998,0.3157894736842105,-111.8421052631578,0.6255506607929519,0.004609186392652389,602.1052631578947
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD1P5_SPREADPCT010_DEPTH250,50-80,22,6400.0000000000155,0.4090909090909091,290.9090909090916,2.028112449799199,0.0034501988628903454,439.09090909090907
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD1P5_SPREADPCT010_DEPTH250,80-150,48,3299.9999999999977,0.3125,68.74999999999996,1.2248722316865415,0.002806793730993306,428.3333333333333
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD1P5_SPREADPCT010_DEPTH250,150-300,24,8700.000000000016,0.4166666666666667,362.5000000000007,1.6159292035398243,0.002524731958143983,354.1666666666667
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD1P5_SPREADPCT010_DEPTH250,300-500,8,-4349.9999999999945,0.375,-543.7499999999993,0.34339622641509515,0.0020115201827785876,362.5
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD1P5_SPREADPCT010_DEPTH250,>500,2,1150.000000000034,0.5,575.000000000017,3.5555555555556957,0.0011822390978149001,270.0
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,<50,24,-3574.999999999998,0.25,-148.95833333333326,0.4257028112449801,0.015204012281615787,6494.166666666667
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,50-80,21,7075.000000000016,0.42857142857142855,336.90476190476267,2.274774774774778,0.0034598867493730715,446.6666666666667
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,80-150,48,3299.9999999999977,0.3125,68.74999999999996,1.2248722316865415,0.002806793730993306,428.3333333333333
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,150-300,24,8700.000000000016,0.4166666666666667,362.5000000000007,1.6159292035398243,0.002524731958143983,354.1666666666667
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,300-500,8,-4349.9999999999945,0.375,-543.7499999999993,0.34339622641509515,0.0020115201827785876,362.5
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,>500,2,1150.000000000034,0.5,575.000000000017,3.5555555555556957,0.0011822390978149001,270.0
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_SPREADPCT015_DEPTH250,<50,21,-2624.999999999998,0.2857142857142857,-124.99999999999991,0.5748987854251014,0.005157166022741781,683.8095238095239
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_SPREADPCT015_DEPTH250,50-80,22,6400.0000000000155,0.4090909090909091,290.9090909090916,2.028112449799199,0.0034501988628903454,439.09090909090907
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_SPREADPCT015_DEPTH250,80-150,48,3299.9999999999977,0.3125,68.74999999999996,1.2248722316865415,0.002806793730993306,428.3333333333333
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_SPREADPCT015_DEPTH250,150-300,24,8700.000000000016,0.4166666666666667,362.5000000000007,1.6159292035398243,0.002524731958143983,354.1666666666667
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_SPREADPCT015_DEPTH250,300-500,8,-4349.9999999999945,0.375,-543.7499999999993,0.34339622641509515,0.0020115201827785876,362.5
BASE_ATM100_SCORE5_NO_PREMIUM_SPREAD2_SPREADPCT015_DEPTH250,>500,2,1150.000000000034,0.5,575.000000000017,3.5555555555556957,0.0011822390978149001,270.0
BASE_ATM100_SCORE5_P100_500_SPREAD2_DEPTH250,80-150,32,-3574.999999999981,0.21875,-111.7187499999994,0.6904761904761916,0.0026157518375402125,405.625
BASE_ATM100_SCORE5_P100_500_SPREAD2_DEPTH250,150-300,24,8700.000000000016,0.4166666666666667,362.5000000000007,1.6159292035398243,0.002524731958143983,354.1666666666667
BASE_ATM100_SCORE5_P100_500_SPREAD2_DEPTH250,300-500,8,-4349.9999999999945,0.375,-543.7499999999993,0.34339622641509515,0.0020115201827785876,362.5
BASE_ATM100_SCORE5_P50_400_SPREAD2_DEPTH250,50-80,23,6450.000000000014,0.43478260869565216,280.43478260869625,2.036144578313255,0.0034606266036502865,433.9130434782609
BASE_ATM100_SCORE5_P50_400_SPREAD2_DEPTH250,80-150,49,3299.9999999999973,0.30612244897959184,67.34693877551015,1.2248722316865415,0.002815239000080465,429.7959183673469
BASE_ATM100_SCORE5_P50_400_SPREAD2_DEPTH250,150-300,24,8700.000000000016,0.4166666666666667,362.5000000000007,1.6159292035398243,0.002524731958143983,354.1666666666667
BASE_ATM100_SCORE5_P50_400_SPREAD2_DEPTH250,300-500,6,-5400.0000000000055,0.3333333333333333,-900.0000000000009,0.08474576271186433,0.0019829800158181836,300.0
BASE_ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,80-150,52,2825.0000000000027,0.28846153846153844,54.32692307692313,1.1864686468646868,0.002863604006399119,438.0769230769231
BASE_ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,150-300,24,8700.000000000016,0.4166666666666667,362.5000000000007,1.6159292035398243,0.002524731958143983,354.1666666666667
BASE_ATM200_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,<50,39,1.7053025658242404e-12,0.2564102564102564,4.372570681600617e-14,1.0000000000000002,0.037247480020558915,9785.128205128205
BASE_ATM200_SCORE5_NO_PREMIUM_SPREAD2_DEPTH250,50-80,44,10225.000000000015,0.38636363636363635,232.38636363636397,1.9646226415094348,0.003434697425914812,469.54545454545456
