analysis_axis,bucket,trades,net_pnl,avg_pnl,win_rate,target_hit_rate,hard_stop_rate,avg_burst_score
candle_age,0-10s,144,-28224.999999999967,-196.00694444444423,0.4513888888888889,0.3611111111111111,0.11805555555555555,3.6875
candle_age,10-20s,76,-13625.000000000027,-179.27631578947404,0.4473684210526316,0.32894736842105265,0.09210526315789473,3.6710526315789473
candle_age,20-30s,41,-10149.999999999993,-247.56097560975593,0.3902439024390244,0.2682926829268293,0.07317073170731707,3.658536585365854
candle_age,30-40s,22,449.99999999998863,20.454545454544938,0.36363636363636365,0.2727272727272727,0.0,3.772727272727273
candle_age,40s+,0,0.0,,,,,
signal_to_entry,0-250ms,244,-45600.0000000001,-186.88524590163976,0.4262295081967213,0.3319672131147541,0.09836065573770492,3.692622950819672
signal_to_entry,250-500ms,38,-3999.9999999999154,-105.26315789473462,0.5,0.34210526315789475,0.07894736842105263,3.6578947368421053
signal_to_entry,0.5-1s,0,0.0,,,,,
signal_to_entry,1-2s,1,-1949.9999999999886,-1949.9999999999886,0.0,0.0,0.0,3.0
signal_to_entry,2s+,0,0.0,,,,,
underlying_accel,neg,4,-1350.000000000051,-337.50000000001273,0.5,0.25,0.0,3.0
underlying_accel,0-1.5,1,-1074.9999999999886,-1074.9999999999886,0.0,0.0,0.0,3.0
underlying_accel,1.5-3,62,-16324.999999999818,-263.3064516129003,0.43548387096774194,0.3548387096774194,0.06451612903225806,3.274193548387097
underlying_accel,3-5,79,-7224.999999999953,-91.45569620253104,0.46835443037974683,0.35443037974683544,0.12658227848101267,3.6455696202531644
underlying_accel,5+,137,-25575.000000000186,-186.67883211678966,0.41605839416058393,0.31386861313868614,0.0948905109489051,3.9197080291970803
option_velocity,neg,71,-37874.99999999987,-533.4507042253503,0.36619718309859156,0.2676056338028169,0.15492957746478872,3.295774647887324
option_velocity,0-1,22,-14299.999999999942,-649.9999999999974,0.3181818181818182,0.22727272727272727,0.13636363636363635,3.3636363636363638
option_velocity,1-2,18,-1250.000000000029,-69.44444444444606,0.4444444444444444,0.3333333333333333,0.0,3.3333333333333335
option_velocity,2-4,65,-1775.0000000000055,-27.307692307692392,0.46153846153846156,0.3076923076923077,0.06153846153846154,3.9846153846153847
option_velocity,4+,107,3649.99999999985,34.11214953270888,0.48598130841121495,0.411214953271028,0.08411214953271028,3.8878504672897196
stale_candle_flag,False,220,-41849.99999999999,-190.2272727272727,0.45,0.35,0.10909090909090909,3.6818181818181817
stale_candle_flag,True,63,-9700.000000000002,-153.968253968254,0.38095238095238093,0.2698412698412698,0.047619047619047616,3.6984126984126986
immediate_confirmation,False,130,-159349.99999999997,-1225.7692307692305,0.06923076923076923,0.007692307692307693,0.12307692307692308,3.6769230769230767
immediate_confirmation,True,153,107799.99999999997,704.5751633986927,0.7450980392156863,0.6078431372549019,0.0718954248366013,3.69281045751634
