variant_name,days,active_days,days_with_candidates,total_trades,total_net_pnl,average_day_pnl,worst_day_pnl,best_day_pnl,average_profit_factor,average_trade_count,max_drawdown_sum,trade_level_profit_factor,trade_level_win_rate,trade_level_avg_pnl
TES_ATM100_SCORE5_TES8_TARGET7,4,2,2,69,14025.000000000005,3506.2500000000014,0.0,8274.99999999999,6.458376690946887,17.25,-14449.999999999996,1.5655241935483877,0.3333333333333333,203.26086956521752
ULTRA_LIQUID_ATM100_SCORE5_TES6_TARGET7,4,2,2,8,11999.999999999985,2999.9999999999964,0.0,7650.0000000000055,2.6730769230769105,2.0,-2025.0000000000055,5.615384615384596,0.5,1499.9999999999982
BASE_ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,4,2,2,76,11525.000000000022,2881.2500000000055,-600.0000000000086,12125.000000000031,1.1703461045435124,19.0,-13675.0,1.3936806148590952,0.32894736842105265,151.64473684210552
TES_ATM100_SCORE5_TES6,4,2,2,73,9600.000000000022,2400.0000000000055,-600.0000000000086,10200.000000000031,1.134424102638028,18.25,-15599.999999999996,1.3313201035375333,0.3150684931506849,131.5068493150688
TES_ATM100_SCORE5_TES8,4,2,2,69,8250.000000000022,2062.5000000000055,-600.0000000000086,8850.000000000031,1.1114226682408503,17.25,-14800.0,1.2904929577464797,0.3188405797101449,119.56521739130464
ULTRA_LIQUID_ATM100_SCORE5_TES6,4,2,2,8,7549.999999999998,1887.4999999999995,0.0,4249.999999999986,2.6346153846153744,2.0,-2025.0000000000055,3.9038461538461444,0.5,943.7499999999997
TES_ATM200_SCORE5_TES6,4,2,2,98,2824.999999999979,706.2499999999948,-4225.000000000022,7050.000000000001,0.8845653416471808,24.5,-16150.000000000025,1.0681544028950538,0.3163265306122449,28.826530612244667
TES_ATM200_SCORE5_TES8,4,2,2,93,2199.999999999984,549.999999999996,-3500.000000000014,5699.999999999998,0.8881640517478667,23.25,-14850.000000000022,1.0547945205479448,0.3225806451612903,23.65591397849444
CONFIRM_1S_ATM100_SCORE5_TES6,4,2,2,19,1949.999999999982,487.4999999999955,0.0,1649.999999999999,1.2264516129032188,4.75,-4575.000000000003,1.2166666666666641,0.3684210526315789,102.63157894736746
CONFIRM_1S_ATM200_SCORE5_TES8,4,2,2,27,-3700.000000000003,-925.0000000000008,-2550.000000000012,0.0,0.6366325906994819,6.75,-8549.999999999998,0.7545605306799334,0.3333333333333333,-137.03703703703712
ULTRA_LIQUID_ATM200_SCORE5_TES6,4,2,2,41,-4349.999999999994,-1087.4999999999984,-4225.000000000022,0.0,0.770608225108226,10.25,-15025.000000000036,0.8244197780020186,0.3170731707317073,-106.0975609756096
actual_system,4,4,0,182,-50424.99999999978,-12606.249999999945,-26199.999999999905,-4499.999999999998,0.6912737586344632,45.5,-146524.99999999974,0.6976011994003009,0.45054945054945056,-277.06043956043834
